"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
133.43,-16.17,"Opilia amentacea",2830172394,"17 km N Hi-Way Inn.","AUS",NA,1988,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
36.493611,-7.804444,"Opilia amentacea",2268816496,"Udzungwa Mountains, Kilombero Nature Reserve, Ndundulu Forest. Kipunji Plot 7.","TZA",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
130.92587,-12.5412,"Opilia amentacea",2850115053,"Dry monsoon vine thicket on island within mangroves on Middle Arm, east of Inpex site and west of northern section of Spitfire.","AUS",20,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.63631,-14.27049,"Opilia amentacea",2850121484,"Somewhere in the NT","AUS",7,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.513889,-12.643056,"Opilia amentacea",1633129486,"Indian Island fauna survey plot 12. Beach sand dune just above high water mark.","AUS",20,1997,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.250833,-11.573056,"Opilia amentacea",1633144977,"Melville Island, Upper Johnstone River - Open riparian vegetation between fast flowing creek and open woodland, on sandy slope. 10 x 40m.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.485163,-11.399377,"Opilia amentacea",1633140758,"Melville Is., Tinganoo Bay. Euc.. Small thicket patch surrounded by Euc.. Woodland","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.996419,-12.706167,"Opilia amentacea",1633020662,"Berry Springs Wildlife Park. Acacia auriculiformis open forest, shallow lateritic soil, rocks at surface.","AUS",20,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.87408,-12.82328,"Opilia amentacea",1633262550,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.365833,-12.764722,"Opilia amentacea",1633042828,"Finniss River survey, LPE113. Acacia auriculiformis monsoon forest.","AUS",20,1997,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
