"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-72.7458528,-8.2720762,"Oryctanthus florulentus",1928897516,"Near Porangaba, Rio Jurúa-Mirim.","BRA",NA,1971,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-79.37,-1.65,"Oryctanthus florulentus",2618407164,"Flora of Ecuador. Los Rios: Hacienda Clementina, W of Cerro Samama, ca 38 km NE of Babahoyo.","ECU",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_COLLECTION_MISMATCH"
-53.35,4.59,"Oryctanthus florulentus",1456330363,"Montagnes de la Trinité, Bassin de la Mana","GUF",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-59.0833,1.84083,"Oryctanthus florulentus",1456249131,"Kassikaityu R., 0-4 km W of landing at terminus of trail from Kuyuwini R.","GUY",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-58.4167,6.83333,"Oryctanthus florulentus",1455943399,"Naamryck Canal just W of Lookout","GUY",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-58.5078,4.28667,"Oryctanthus florulentus",1456050617,"Iwokrama Reserve. Essequibo River at Lady Smith Creek","GUY",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-57.58,-0.97,"Oryctanthus florulentus",2235923690,"Margem direita do Rio Mapuera, entre as cach. Paraíso Grande e Maracajá","BRA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-73.583333,-3.916667,"Oryctanthus florulentus",1261440801,"Región de Amazonas. Santa María de Nanay, 10 km al W del Caserío Mishana, dentro de la Reserva Cocha Yaramá, Igapó.","PER",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-73.491944,-3.881111,"Oryctanthus florulentus",1261443585,"Shiriara, Caserio a 15 min. abajo de Mishana, margen izquierda, a lo largo del Caño de Entrada.","PER",NA,1978,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-73.24722,-3.74805,"Oryctanthus florulentus",1261503660,"Vicinity of Iquitos.","PER",NA,1977,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
