"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
135.3344,-30.9147,"Osteospermum calendulaceum",2436123415,"Railway Crossing just E of Kingoonya.","AUS",1000,2003,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
137.23616,-33.59755,"Osteospermum calendulaceum",1085320425,"","AUS",50,1998,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
137.10738,-33.37922,"Osteospermum calendulaceum",2518363550,"","AUS",50,2018,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
23.104917,-32.305401,"Osteospermum calendulaceum",3986127376,"","ZAF",NA,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.448827,-29.713916,"Osteospermum calendulaceum",3985604327,"","ZAF",61,2012,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.57036,-33.738747,"Osteospermum calendulaceum",2988357665,"","ZAF",5,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-117.784538,33.549433,"Osteospermum calendulaceum",3772911175,"","USA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.457638,-33.709758,"Osteospermum calendulaceum",3986071839,"","ZAF",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.214527,-33.591035,"Osteospermum calendulaceum",3985633440,"","ZAF",31,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
25.675099,-33.732178,"Osteospermum calendulaceum",3986004522,"","ZAF",140,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.487239,-33.637921,"Osteospermum calendulaceum",3903542373,"","ZAF",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
20.037868,-33.835809,"Osteospermum calendulaceum",3986082523,"","ZAF",640,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
120.650757,-31.137825,"Osteospermum calendulaceum",3985622735,"","AUS",NA,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
23.039557,-33.737503,"Osteospermum calendulaceum",3985769322,"","ZAF",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
121.688,-31.706,"Osteospermum calendulaceum",3985741747,"","AUS",5,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.113564,-34.167231,"Osteospermum calendulaceum",2813896868,"","ZAF",23,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.08719,-34.12685,"Osteospermum calendulaceum",3985772338,"","ZAF",50,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.386128,-33.60101,"Osteospermum calendulaceum",3058686643,"","ZAF",17,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
25.426682,-33.77145,"Osteospermum calendulaceum",2012946131,"","ZAF",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.876631,-33.760857,"Osteospermum calendulaceum",3985728320,"","ZAF",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
137.98327,-32.84175,"Osteospermum calendulaceum",2445889646,"","AUS",NA,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
142.988611,-34.258889,"Osteospermum calendulaceum",2830613834,"Prungle Marma Road, approximately NW of Balranald, c. 2 km S from turnoff to Prungle homestead.","AUS",50,2011,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
