"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-122.55,55.3,"Oxytropis bryophila",1988096581,"Pine Pass Mts., Peace River District","CAN",NA,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-133.05,61.616667,"Oxytropis bryophila",1988153040,"Lapie Lakes","CAN",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-134.7,60.05,"Oxytropis bryophila",1988136317,"Carcross, Montana Mountain","CAN",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-138.566667,61,"Oxytropis bryophila",1988082755,"Sheep Mountain, southwest plateau, near Kluane Lake","CAN",NA,1970,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-122.57,57.03,"Oxytropis bryophila",1988115948,"Pink Mt., Peace River District","CAN",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-152.534,68.564,"Oxytropis bryophila",1702081298,"Chandler L. Q.: Arctic Foothills, Castle Mt, S ridge of massive, On exposed dryas heath.","USA",NA,2002,"PRESERVED_SPECIMEN","PRESUMED_NEGATED_LONGITUDE;CONTINENT_DERIVED_FROM_COORDINATES"
-150.509,67.752,"Oxytropis bryophila",1701815981,"Wiseman Q.: Endicott Mts, Chimney Mt, N flank,","USA",NA,2002,"PRESERVED_SPECIMEN","PRESUMED_NEGATED_LONGITUDE;CONTINENT_DERIVED_FROM_COORDINATES"
-149.45,60.1,"Oxytropis bryophila",441796670,"Mount Marathon; Seward.","USA",NA,1951,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-149.453551,61.316143,"Oxytropis bryophila",4034601002,"","USA",122,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-138.872,69.5717,"Oxytropis bryophila",1804550039,"Near Ivvavik National Park. Herschel Island Hillside east of mouth of creek. East Pauline Cove. Steep S-ward facing slope. UTM 7719300N 582900E","CAN",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-140.983,69.4667,"Oxytropis bryophila",1804597217,"Ivvavik National Park. Sheep Creek In vicinity of talus slope and unglaciated rock outcrop northwest of (ca 1 km) confluence of Sheep Creek with Firth River. West of camp.","CAN",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-136.533,68,"Oxytropis bryophila",1843227806,"Pennsylvanian limestone ridgetop; along Fish Creek","CAN",NA,1973,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-140.783,69.6,"Oxytropis bryophila",1804556052,"Clarence Lagoon West side of, where land meets sand spit, adjacent to Alaska/Yukon border. Site 3. Ivvavik National Park","CAN",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-136.083,68.3667,"Oxytropis bryophila",1804594637,"Jurassic Bug Creek Sandstone. Cache Cr.","CAN",NA,1973,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-139.527,69.2117,"Oxytropis bryophila",1804513709,"Ivvavik National Park. British Mountains Site IV. UTM 7678400N 558500E Loc. # IV","CAN",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-139.083,69.6167,"Oxytropis bryophila",1804460642,"Herschel Island Area of eroding banks near highest point of the centre island. Site 17.","CAN",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-139.541,61.7253,"Oxytropis bryophila",1843227140,"Alaska Highway, between Alaska boundary and Champagne. West side of Kluane River.","CAN",NA,1962,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-146.25,69.9,"Oxytropis bryophila",1804553150,"Canning River Site 6a ca 125 mi. N. Arctic Village 3 mi. E. Canning River on coastal plain. R. 23E. T. 6N","USA",NA,1972,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-148.25,70.333333,"Oxytropis bryophila",4070116598,"Prudhoe Bay; Northern Alaska.","USA",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-166.75,68.35,"Oxytropis bryophila",4070116655,"Point Hope; Northwest Alaska.","USA",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-152.436667,57.788056,"Oxytropis bryophila",4070120378,"Piller Mountain.","USA",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-156.74,57.54,"Oxytropis bryophila",1146329579,"Alaska Peninsula, Ugashik Narrows, mtn. 1727, Ugashik Quad, Alaska Peninsula National Wildlife Refuge","USA",3615,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-145.1028165,69.1997487,"Oxytropis bryophila",1146235634,"Brooks Range, Carnivore Cr. drainage, Mt. Michelson Quad, Arctic National Wildlife Refuge","USA",NA,1973,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-158.61,59.28,"Oxytropis bryophila",1146347561,"Lake Aleknagik, Jack-Knife Mountain, Dillingham Quad, Wood-Tikchik State Park","USA",3615,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-155.85,58.58,"Oxytropis bryophila",1146348991,"Aleutian Range, Dumpling Mtn., Mt. Katmai Quad, Katmai National Park","USA",3615,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-161.65,59.21,"Oxytropis bryophila",1146394749,"Ahklun Mtns., Limestone Ridge, ca. 12 km NW of Goodnews Bay village, Goodnews Bay Quad","USA",3615,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-145.43,65.45,"Oxytropis bryophila",1146339011,"Yukon-Tanana Uplands, Eagle Cr. vic. Berry Camp, Circle Quad","USA",3615,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-147.58,63.95,"Oxytropis bryophila",1146339017,"Alaska Range, Upper Sheep Cr., Healy Quad","USA",3615,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-141.2359589,68.6497959,"Oxytropis bryophila",1146241662,"Brooks Range, Firth R. drainage, VABM Silver, Table Mtn. Quad, Arctic National Wildlife Refuge","USA",NA,1979,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-143.8695646,70.0497972,"Oxytropis bryophila",1146244516,"Arctic Coastal Plain, Okpilak R. delta, Barter Island Quad, Arctic National Wildlife Refuge","USA",NA,1978,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-148.96,61.28,"Oxytropis bryophila",1146365392,"Eklutna Gl., EKLUTNA VALLEY, BELOW EKLUTNA GL., Anchorage Quad, Chugach State Park","USA",3615,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-149.57,61.37,"Oxytropis bryophila",1146263572,"Chugach Mts., Ft. Richardson, site summit, W-facing slope of site summit, Anchorage Quad, Fort Richardson Military Reservation","USA",3615,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-154.08,67.43,"Oxytropis bryophila",1146380692,"Brooks Range, Arrigetch Creek valley, Survey Pass Quad, Gates of the Arctic National Park and Preserve","USA",3615,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-141.066667,66.8,"Oxytropis bryophila",1146230143,"Keele Range, Salmon Fork of Black R. headwaters, vic. upper Fort Cr., ca. 4.5 km NNE of VABM Fort, Black River Quad","USA",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-160.08,59.86,"Oxytropis bryophila",1146323913,"Kilbuck-Kuskokwim Mts., Kagati Lake, Goodnews Bay Quad, Togiak National Wildlife Refuge","USA",3615,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-148.503066,70.2497234,"Oxytropis bryophila",1146236658,"Arctic Coastal Plain, Prudhoe Bay, Beechey Point Quad","USA",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-158.0635071,56.7663997,"Oxytropis bryophila",1146242892,"Alaska Penin., Aleutian Range, Aniakchak Crater and vic., exposed ash flats E of Joe Klutsch's Rainbow Cr. camp, Chignik Quad, Aniakchak National Monument and Preserve","USA",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-136.13,66.91,"Oxytropis bryophila",1146336827,"Richardson Mts., W side of westernmost range of Richardson Mts., Eagle River","CAN",3615,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
