"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
104.080649,52.240879,"Oxytropis candicans",3986062434,"","RUS",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
89.66599,61.02326,"Oxytropis candicans",1697258893,"","RUS",1000,1977,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
103.941835,52.235788,"Oxytropis candicans",3985755442,"","RUS",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
112.447316,68.502381,"Oxytropis candicans",1697258933,"","RUS",NA,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
89.013,62.29907,"Oxytropis candicans",1697258916,"","RUS",500,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
91.43819,62.10963,"Oxytropis candicans",1697258870,"","RUS",2000,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
91.96288,51.91097,"Oxytropis candicans",1697258869,"","RUS",1000,1987,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.02728,62.53819,"Oxytropis candicans",2382491553,"Russian Federation; Sakha Republic (Yakutia), distr. Ust'-Aldanskii. Ogorodtakh village, Ary-Tit settlement: lower part of the slopes above the Lena River ca 3.3 km (NNW-)N of the settlement","RUS",NA,2010,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
129.26544,61.6525,"Oxytropis candicans",2382491932,"Russian Federation; Sakha Republic (Yakutia), distr. Khangalasskii. Ulakh-An village: slopes above the margin of the Lena River valley ca 4.6 km NNE of the village","RUS",NA,2010,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
129.75639,62.27556,"Oxytropis candicans",2382490884,"Russian Federation; Sakha Republic (Yakutia), Yakutsk. Kil'demtsy village: Lena River terrace ca 3.5 km W of the village","RUS",NA,2010,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
129.77667,62.52069,"Oxytropis candicans",2382489064,"Russian Federation; Sakha Republic (Yakutia), distr. Namskii (Namtsy). Kysyl-Syr village: floodplain of the Lena River 1.4 km SSE-S of the village","RUS",NA,2010,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
116.630716,61.997044,"Oxytropis candicans",4022055505,"","RUS",13,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
89.32955,61.8435,"Oxytropis candicans",1697258878,"","RUS",500,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
