"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-79.58,-3.82,"Panicum hirtum",1096750741,"Flora of Ecuador. Loja. Las Chinchas - Portovelo ca 30 km below Zumbe.","EC",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_COLLECTION_MISMATCH"
35.08,-5.08,"Panicum hirtum",2618356381,"Tanzania. Singida: Singida. 7 km past Misughaa on Mwa Mtoro rd. Rolling hills, midslope.","TZ",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
30.31666,-0.4,"Panicum hirtum",4061083523,"Buhweju Bushenyi U2 (Ankole). Nyakitoko Birere. TQ-56-05","UG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-83.966667,14.733333,"Panicum hirtum",4061351832,"Waspan, along Río Coco; meadows, swamps and pine savannas [Seymour series","NI",NA,1970,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
27.06666,-16.43333,"Panicum hirtum",4060911932,"Choma District, 26 km along Mapanza-Pemba Road (RD 361) from road junction with Choma-Namwala Road. Combretum-Terminalia thickets.","ZM",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-63.08,4.2,"Panicum hirtum",1456288013,"Río Paramichi, at junction with Río Paragua","VE",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
21.5836,-18.1217,"Panicum hirtum",3005777645,"[1821BA] Grid ref. Regio Caprivi Strip, Namibia. Mukwe District. Popa Falls Rest Camp; island walk, banks of Okavango River. 18.12162°S 21.58367°E.","NAM",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-55.4,-17.766667,"Panicum hirtum",3800705446,"Fazenda Santana do Piquiri, sub-região do Paiaguás, Pantanal.","BR",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-56.5,3.6,"Panicum hirtum",1455942017,"Lucie R., 9 km N of and 12 km W of Oost R., Wilhelmina Gebergte","SR",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-59.08,2.83,"Panicum hirtum",1456127378,"Shea Rock, Rupununi Dist.","GY",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
