"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
46.933056,-25.049444,"Paracephaelis saxatilis",1261251376,"Woods around the airport, W side of Fort Dauphin, 10 m, rainfall ca. 1500 mm.","MDG",NA,1983,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.033333,-24.95,"Paracephaelis saxatilis",1261518903,"Préfecture de Tôlan|2aro (Fort-Dauphin); plage de Mandena.","MDG",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_NON_NUMERIC;DIFFERENT_OWNER_INSTITUTION"
44.5,-18.02,"Paracephaelis saxatilis",1096798374,"Madagascar. Mahajanga Province, Maintirano District, Belitsaka Commune. Forêt de Beanka.","MDG",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
46.156667,-24.314444,"Paracephaelis saxatilis",4032016984,"Région Anosy, District Amboasary-Sud, Commune Marotsiraka, Fokontany Antsonjo, Forêt de Andranonaomby, Ankazomanga. Herbier conservé avec alcool. Collecté avec Sambo guide local.","MDG",NA,2022,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.175833,-24.275556,"Paracephaelis saxatilis",4031820127,"District Amboasary-Sud, Commune Ranobe, Fokontany Behalomboro I, Forêt de Beanivona (Noyau Dur). Herbier conservé avec alcool. Collecté avec Mosa Soasaotry et Zakasoa.","MDG",NA,2020,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
45.95,-25.2,"Paracephaelis saxatilis",1258693331,"Along road between Ambondro and Ambovombe.","MDG",NA,1975,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
45.066667,-25.5,"Paracephaelis saxatilis",1258161442,"Falaise côtière Nord-Ouest du Cap Sainte-Marie, vers Lavanono. Bush xérophile sur calcaire.","MDG",NA,1955,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.53333,-24.41666,"Paracephaelis saxatilis",1258693304,"Sud, Mandrari moyen, environs de Beza Esiva","MDG",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.816667,-25.083333,"Paracephaelis saxatilis",4061833493,"5 km S of Manambaro, 23 km W of Fort Dauphin.","MDG",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.680556,-24.795833,"Paracephaelis saxatilis",4031646836,"Anosy, Fort-Dauphin, Ambatoabo, Ankoba. Forêt sèche à Alluaudia d'Ankoba. Récolté avec Fidy Ratovoson, J. Razanatsoa, V. Razafindrahaja, B. Rasolondrainy Tsimitamby & Fiadana.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.41666,-24.91666,"Paracephaelis saxatilis",1261224759,"Fort Dauphin (Tôlan|2aro) region, W of town on NW boundary of Reserve Integral #11, Andohahela, parcel 2; dry forest; about 17 km N of Amboasary Sud.","MDG",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.307777,-25.081944,"Paracephaelis saxatilis",1839540722,"near Amboasary, due E of Ambovombe","MDG",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
43.97222,-23.87611,"Paracephaelis saxatilis",4067869423,"","MDG",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
