"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-59.833333,-2.516667,"Parkia decussata",1929549926,"Distrito Agropecuário, Reserva 1501 (Km 41)","BRA",NA,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-59.966667,-2.883333,"Parkia decussata",1928640376,"Próximo a torre.","BRA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-59.95,-2.366667,"Parkia decussata",2998177918,"Distrito Agropecuario da SUFRAMA Rodovia BR 174, km64 depois 7km Leste na ZF3, Fazenda Porto Alegre. Reserva No. 3304 do Projeto Dinamica Biologica de Fragmentos Florestais.","BRA",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-60.05,-2.616667,"Parkia decussata",2998178541,"Road ZF-1, 1Km E from junction with BR 174 Manaus-Boa Vista Km 42.","BRA",NA,1979,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-59.416667,-4.533333,"Parkia decussata",2998497451,"Along road ca. 30 Km S of Borba near Rio Maparí (tributary of Rio Canumã).","BRA",NA,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-52.679567,4.0883,"Parkia decussata",1931204161,"Nouragues Field Station and vicinity. Petit Plateau, on trail to Saut Pararé, ca. 600 m S of Camp Inselberg.","GUF",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-63.32,0.816667,"Parkia decussata",1042630941,"Serra de Aracá., 7 km ao sul da parte central da Serra do Aracá no caminho para o Rio Jauari.","BRA",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-53.23,0.908256,"Parkia decussata",1042705410,"PARNA Montanhas de Tumucumaque, Área de montanhas baixas (até 500 m) no médio Rio Jarí.","BRA",NA,2013,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-64.7,-9.277222,"Parkia decussata",1042701463,"UHE Jirau, Área de supressão da vegetação, AHE Jirau, margem esquerda do rio Madeira.","BRA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-59.761111,-2.407222,"Parkia decussata",1570747264,"Reserva 1501 (km 41) do PDBFF","BRA",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
