"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-94.03,16.68,"Paspalum cymbiforme",1929573059,"Cintalapa. Slope, near La Cienega de Leon 30 km N of Las Cruces.","MEX",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-92.964167,15.974445,"Paspalum cymbiforme",1258040598,"Above Colonia Vincente Guerrero on road to Finca Cuxtepec [Custepec].","MEX",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-94.030219,16.414111,"Paspalum cymbiforme",1895348639,"Near the microwave station of La Mina, 12 Km S of Mexican Hwy 190 near Rizo de Oro","MEX",100,1971,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-92.934,16.755,"Paspalum cymbiforme",1895348683,"Escopetazo","MEX",100,1981,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-89.63158,13.81783,"Paspalum cymbiforme",4066819914,"El Salvador: Depto. Sonsonate, Mpio. Izalco, sendero hacia cráter Volcán de Izalco, La Chiche. Flujo de lava con escasa vegetación. Hierba; espiguillas blancuzcas; brácteas ocres. Alt.: 1738 m.2021-11-18, Leg.: Galán,P., Rodríguez,D. & Escobar,L. 5886 [PG-05886].","SLV",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-93.006389,16.281111,"Paspalum cymbiforme",1258040612,"58 km S of Mexican Highway 190 on road to Nueva Concordia.","MEX",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-92.09,15.69,"Paspalum cymbiforme",4031747015,"6-8 km E of Frontera Comalapa along road to Ciudad Cuauhtemoc.","MEX",NA,1974,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-86.96666,12.7,"Paspalum cymbiforme",1261856211,"Volcán Casita, Montaña del Cielo.","NIC",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-93.2,16.681667,"Paspalum cymbiforme",1928128915,"Crest of the Sierra, near the microwave station of La Mina, 12 km south of Mexican Highway 190 near Rizo de Oro","MEX",NA,1971,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-93.069722,16.804722,"Paspalum cymbiforme",4061891688,"Near Park entrance of Cañon del Sumidero, 5 km N of Tuxtla Gutiérrez.","MEX",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
