"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-78.83333,-2.23333,"Paspalum penicillatum",4061046039,"Along Panamericana ca 6 km S of Alausi","ECU",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-78.95,-2.25,"Paspalum penicillatum",4061780421,"Huigra - Alausi km 8. Disturbed and grazed area.","ECU",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-67.81667,-16.3,"Paspalum penicillatum",46379931,"Dpto. LA PAZ: Prov. Nor Yungas, 0.7 Km W of Chuspipata","BOL",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-78.5,0.08333,"Paspalum penicillatum",46379527,"PICHINCHA: Quito Canton; Reserva Geobotanica Pululahua, Caldera del Volcan","ECU",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-78.83333,-7.33333,"Paspalum penicillatum",1259566722,"Toledo - Contumazá.","PER",NA,1981,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.51666,-13,"Paspalum penicillatum",1259612776,"a 110 km de Cusco en el camino y atrás de las aguas termales con plantaciones de palta. En aguas calientes. Machupicchu.","PER",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.166667,-13.333333,"Paspalum penicillatum",2533921938,"Urubamba District. Village of Huayllbamba, Urubamba Valley.","PER",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.3833,-4.18333,"Paspalum penicillatum",1260338832,"6.6 km W of Purinuma on road to Gonzanamá, at pass. Growing in disturbed Clusia forest with sterile Chusquea.","ECU",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.099722,-16.131111,"Paspalum penicillatum",1257531574,"Valle del Zongo, camino de La Paz a Zongo, ca. 7 km de Zongo [22.7 km lineales de Huayna Potosí]. Río Zongo.","BOL",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-78.598611,0.065278,"Paspalum penicillatum",2626923712,"Chichisique, primary and slightly disturbed cloud forest on ridge N of Cerro Montecristi; in clumps on banks, not very common.","ECU",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-76.813056,-7.395,"Paspalum penicillatum",1259683069,"Yetón (San Benito - Guzmango).","PER",NA,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-51.81666,-12.81666,"Paspalum penicillatum",1260339727,"Expedition Base Camp. C. 12 km south south west of base camp. Burnt cerrado.","BRA",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-79.05,-4.06666,"Paspalum penicillatum",4061769187,"6 km E of Catacocha along road to Guamile","ECU",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
