"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-60.5766,5.20461,"Paspalum petilum",1456426912,"Mt. Maringma, southern slopes of summit escarpment, Arabaru River","GUY",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-61.63,6.73,"Paspalum petilum",1456253021,"El Dorado","VEN",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-61.05,5.31,"Paspalum petilum",1456253468,"Gran Sabana, ca 10 km SW of Karaurin tepuí at junction of Río Karaurin and Río Asadon (Río Sanpa)","VEN",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-60.7292,5.33333,"Paspalum petilum",1456352852,"Camp along Waruma River ±2 km upstream of confluence with Kako River","GUY",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-59.9594,5.37278,"Paspalum petilum",1456060807,"Mt. Ayanganna, east face, camp at base of second of four escarpments","GUY",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-66.16666,0.83333,"Paspalum petilum",1259473008,"Río Negro. 1 to 4 km east of Cerro de La Neblina Base Camp on Río Mawarinuma. Along river. Elev. 140 m. 0º50'N, 66º10'W.","VEN",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-62.5,5.7,"Paspalum petilum",1259594836,"Distrito Piar: Rio Ocoine, Pie de la Roca, southeastern base of Auyan-tepu. Among boulders along river","VEN",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-66.17,0.83,"Paspalum petilum",3043528761,"Territotio Federal Amazonas: Departamento Río Negro. 0 to 1 km east of Cerro de La Neblina Base Camp on Rio Mawarinuma.","VEN",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-65.5,3.716667,"Paspalum petilum",1259464416,"ATABAPO Cerro Marahuaca. Slopes. Sima area.","VEN",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-65.8,1.53333,"Paspalum petilum",4031369625,"Depto Rio Negro: arbustales, roca abierta y bosque bajo denso en la vertiente oriental del Macizo Aracamuni.","VEN",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
