"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-99.191667,23.258333,"Paspalum plicatulum",1895763980,"Rumbo a Montecristo","MEX",70,1985,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-97.941667,22.891667,"Paspalum plicatulum",1895763958,"Entrada al Ejido Ramón Corona","MEX",70,1992,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-69.42,7.5,"Paspalum plicatulum",3043571911,"En sabana del Modulo Unellez, entre los canos Guaritico y Caicara.","VEN",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE"
-104.35,19.87,"Paspalum plicatulum",1322944597,"Mts N of Autlán, 3-5 mi above Mina San Francisco (Cia. Minera de Autlán)","MEX",NA,1960,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-48.6008,-8.5006,"Paspalum plicatulum",1928338726,"Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","BRA",1000,1980,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-71.63,19.48,"Paspalum plicatulum",1931113726,"Base de Cordillera Central: en Pino Claro, 2.5 Km al este del cruce Santiago de la Cruz (de Loma Cabrera-Dajabón), en la carretera a Partido.","DOM",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-47.069722,-15.27769,"Paspalum plicatulum",1928469200,"Serra do Morcêgo, near Côrrego Estrema, ca. 40 km N.E. of Formosa","BRA",5000,1966,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-49.810717,-26.134487,"Paspalum plicatulum",1930644713,"Mafra","BRA",4942,1953,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-43.21845,-16.40385,"Paspalum plicatulum",1929149037,"Serra do Espinhaço, ca. 35 km N.E. of Francisco Sá, on road to Salinas","BRA",5000,1969,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-47.142,-22.242,"Paspalum plicatulum",1931331471,"Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. ~8.5 km. NNE of Padua Sales. (About 27 km. NW of city of Moji-Mirim.)","BRA",NA,1961,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
