"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
38.7,-6.2,"Paullinia pinnata",2618571864,"Tanzania, Pwani, Bagamoyo District. Along Wami River.","TZA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
-38.72,-3.88,"Paullinia pinnata",1096908223,"Ceará. Município de Maranguape. Morro da pedra da rajada. Mata do Derretido, barlavento.","BRA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_COLLECTION_MISMATCH"
-58.803333,-26.153333,"Paullinia pinnata",1056269698,"","ARG",NA,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-57.5,-25.12,"Paullinia pinnata",1318010145,"Ríp Salada basin, 7 km NE of Emboscada","PRY",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-59.7,7.37,"Paullinia pinnata",1456314491,"Karaiko Village, Barama R., NW Dist.","GUY",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-44.9167,-3.25,"Paullinia pinnata",1317986902,"Campo vegetation between Vitória do Mearim and Viana on MA 014.","BRA",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-35.587778,-6.868056,"Paullinia pinnata",1930786239,"Poço Escuro","BRA",NA,2015,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-70.4603,19.2697,"Paullinia pinnata",1928496627,"La Vega. Community of Barranca","DOM",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-49.62,-0.6,"Paullinia pinnata",1931014602,"Ilha de Marajó, rio Mucuons, região dos Campos, Fazenda Fura-Olho.","BRA",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-68.62,18.4,"Paullinia pinnata",1929120742,"Llano Costero: aprox. 1 Km a 1.5 Km norte del poblado de Boca de Yuma en el camino viejo a El Caracol paralelo a Río Duey (=Rio Yuma).","DOM",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-74.5,8.33,"Paullinia pinnata",1928949163,"Corregimiento La Raya, ciénaga La Raya en bosques alrededor de ciénaga Grande, refugio El Paraíso, 3-4 h de Caucasia, sobre el Río Cauca.","COL",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
