"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
25.63,-33.58,"Pegolettia baccaridifolia",1096711889,"Flora of South Africa. Eastern Cape, Port Elizabeth, Addo, Soutkloof S. of the town.","ZAF",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
26.595499,-33.137134,"Pegolettia baccaridifolia",2311277337,"","ZAF",8,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.02684,-33.49388,"Pegolettia baccaridifolia",2311267517,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.60877,-31.98932,"Pegolettia baccaridifolia",3858702767,"","ZAF",3,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.432863,-33.785526,"Pegolettia baccaridifolia",2980822955,"","ZAF",44,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.088819,-33.710512,"Pegolettia baccaridifolia",2265778513,"","ZAF",977,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.646853,-33.449624,"Pegolettia baccaridifolia",2311273206,"","ZAF",162,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.288795,-33.760228,"Pegolettia baccaridifolia",3391544536,"","ZAF",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.985822,-33.639397,"Pegolettia baccaridifolia",2988522030,"","ZAF",119,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
22.180719,-33.400434,"Pegolettia baccaridifolia",3947794502,"","ZAF",5,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
21.787755,-33.43565,"Pegolettia baccaridifolia",2823228663,"","ZAF",353,2004,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.136475,-33.656812,"Pegolettia baccaridifolia",2862378840,"","ZAF",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.898933,-33.199427,"Pegolettia baccaridifolia",2311278799,"","ZAF",15,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.63085,-33.08826,"Pegolettia baccaridifolia",1935575129,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.6365,-33.7307,"Pegolettia baccaridifolia",2311267482,"","ZAF",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
24.97861,-32.33778,"Pegolettia baccaridifolia",2992431804,"Aasvoelkrans (Stockdale); Asante Sana","ZAF",250,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
