"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
19.068241,-32.905525,"Pelargonium grandiflorum",3302257548,"","ZAF",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.095013,-33.08488,"Pelargonium grandiflorum",3772821949,"","ZAF",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.785139,-31.811244,"Pelargonium grandiflorum",3960993139,"","ZAF",36,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.142595,-31.539099,"Pelargonium grandiflorum",3985887012,"","ZAF",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
18.39526,-34.061191,"Pelargonium grandiflorum",3301811500,"","ZAF",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.159481,-32.791458,"Pelargonium grandiflorum",3988641662,"","ZAF",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
17.24687,52.32713,"Pelargonium grandiflorum",3476778088,"","POL",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
9.497343,51.141582,"Pelargonium grandiflorum",3389300509,"Feldflur Melgershausen, mit angrenzendem Wald","DEU",250,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
10.20713,48.873985,"Pelargonium grandiflorum",2268316180,"TK25 Blatt 7127/1 - Jagst / Westhausen / Lauchheim","DEU",250,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
6.627252,50.704868,"Pelargonium grandiflorum",3387933927,"Zülpich-Geich Private Ganzjahresfutterstelle","DEU",250,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
9.594498,50.901085,"Pelargonium grandiflorum",3387935316,"Obergeis und Umgebung","DEU",250,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-3.5181,43.1787,"Pelargonium grandiflorum",1936641883,"Soba: Veguilla","ESP",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
19.024837,-31.285264,"Pelargonium grandiflorum",3408036888,"","ZAF",538,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.132391,-31.729893,"Pelargonium grandiflorum",2988719720,"","ZAF",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.169303,-33.1522,"Pelargonium grandiflorum",1949983092,"","ZAF",122,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
10.351267,48.857319,"Pelargonium grandiflorum",1893232367,"Bopfingen nördl. Bahn","DEU",250,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-74.14,3.45,"Pelargonium grandiflorum",768761720,"Vereda Villa Lucia, resguardo indígena Villa Lucia, finca el Limón","COL",NA,2002,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
19.093329,-32.36102,"Pelargonium grandiflorum",3961077510,"","ZAF",196,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-4.306,43.1994,"Pelargonium grandiflorum",1936641943,"Valle de Cabuérniga: Renedo","ESP",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-75.484726,5.088339,"Pelargonium grandiflorum",1576179564,"Sin datos","COL",9065,1974,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_NONE"
19.154295,-33.172414,"Pelargonium grandiflorum",2543021817,"","ZAF",NA,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
