"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.45,-13.13,"Peponidium blepharodon",1096703954,"Madagascar. Antsiranana Province, Vohemar District, Daraina Commune. Daraina, Hillside next to Daraina, northern slopes, from the road to the Radio station","MDG",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
48.0925,-13.762778,"Peponidium blepharodon",1261055196,"Ambanja, Ambaliha, Ambaliha, Tsarabanja, village le plus proche Tsarabanja, sur la presqu'île Ampasindava.","MDG",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.535556,-18.088611,"Peponidium blepharodon",1257926745,"Maintirano, Belitsaky, Antsakoabe. Forêt d'Amboloando.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.283333,-14.066667,"Peponidium blepharodon",2268874611,"Besinkara. Ambalafary, sur le chemin d'Anabotoaka, 100 m en amont de la falaise","MDG",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.709722,-13.104167,"Peponidium blepharodon",1257978017,"Daraina, forêt de Bekaraoka, partie nord.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.77,-14,"Peponidium blepharodon",2618626929,"Madagascar, Diana Region, Ambanja District, Tsaratanana National Park, Manariboka Massif.","MDG",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
44.45,-18.02,"Peponidium blepharodon",1096798341,"Madagascar. Mahajanga Province, Maintirano District, Belitsaka Commune. Forêt de Beanka.","MDG",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
47.993333,-13.746944,"Peponidium blepharodon",1261029584,"Diana, Ambanja, Bemanevika, Bandrakorony. Forêt du côté Ouest de la grande rivière de Bandrakorony sur la Péninsule d'Ampasindava. Echantillon préservé en alcool.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.364167,-12.381944,"Peponidium blepharodon",4060873262,"Antsiranana II, Mahavanona, Andranomanitra, Montagne des Français, Ambatovaky, Ambatomenavava, 5 km au Nord-est d'Andranomanitra. Forêt sèche caducifoliée sur tsingy.","MDG",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.127778,-14.211667,"Peponidium blepharodon",1260229220,"Mangindrano, au Sud du mont le plus haut.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.316667,-13.425,"Peponidium blepharodon",4060884580,"Nosy Be. Réserve Intégrale de Lokobe.","MDG",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_NON_NUMERIC;INSTITUTION_MATCH_NONE"
49.500833,-14.750833,"Peponidium blepharodon",4061998312,"Fivondronana d'Andapa, Firaisana de Bealampona, Fokontany de Befingotra. Réserve Spéciale Anjanaribe-Sud, environs 37 km au Sud Ouest d'Andapa par la route Nationale d'Andapa-Bealanana, à 3 km au Sud Est de l'ancien village de Mandritsarahely, piste vers Ranomafana. Forêt humide d'haut plateau. Echantillons préservés en alcool.","MDG",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
48.32,-18.8,"Peponidium blepharodon",1096849133,"Madagascar. Toamasina. Alaotra-Mangoro Region. Fokontany Menalamba, Anamalay Forest.","MDG",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
