"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
46.87,-24.8,"Phylloxylon xylophylloides",1702766153,"Reserve Integrale #11, Andohahela, Parcelle 1, Isaka Ivondro.","MDG",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE"
49.15,-12.6,"Phylloxylon xylophylloides",1260488134,"Crête Beharahara (Montagne d'Ambre)","MDG",NA,1954,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.983333,-14.316667,"Phylloxylon xylophylloides",1260488279,"Bemafo, village le plus proche Antanambao Analalatsaka, Mangindrano, Bealanana. Sol: sec ou il y a caillouté blanche. station: bord de la rivière.","MDG",NA,1955,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.895556,-25.050833,"Phylloxylon xylophylloides",1259444137,"Fivondronana: Fort-Dauphin, Firaisana: Manambaro. Forêt littorale de Petriky, située entre le village d'Ambovo et de Loharano. Récolté avec J. Razafimandimby & E. Ramisy.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.27805,-18.86777,"Phylloxylon xylophylloides",1260397021,"Moramanga, Andasibe, Menalamba,Ambatovy, Sahavira forest, disturbed forest. Forest without crust. Samples preserved in alcohol.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.61666,-17.65,"Phylloxylon xylophylloides",1260468571,"Fiakarantsarotra, village le plus proche: Andranomalaza Sud, Manakambahiny Est, Ambatondrazaka. Station: forêt.","MDG",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47,-24.95,"Phylloxylon xylophylloides",1261533854,"Préfecture de Tôlan|2aro (Fort-Dauphin), Mandena Forest, along road SW of QIT Fer et Titane work camp, in disturbed coastal forest (ca. 9 km N of Tôlan|2aro (Fort-Dauphin). With R. Rabevohitra & N. Dumetz.","MDG",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;ELEVATION_NON_NUMERIC;DIFFERENT_OWNER_INSTITUTION"
48.801944,-14.041667,"Phylloxylon xylophylloides",4062227369,"Marotolana, Beangona-Ambevy. Entre les rivière Antsahamanana et Marotoaka. Forêt dense humide de moyenne altiude. Récolté avec C. Birkinshaw, J. Randriapaoly & J. Rasamoely.","MDG",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.998611,-24.948055,"Phylloxylon xylophylloides",1258157816,"District Taolagnaro, Commune Taolagnaro, localité M15, site Mandena .","MDG",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.166111,-19.033056,"Phylloxylon xylophylloides",4061146336,"Moramanga, Ambohibary, Antsily, Besarika.","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.86666,-13.95,"Phylloxylon xylophylloides",4061302671,"Canton Marovato, District Ambanja","MDG",NA,1961,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.171111,-24.768056,"Phylloxylon xylophylloides",4060999493,"Sainte Luce, QMM Forestry Station, parcel S9, 1-2 km from QMM Forestry trailhead, littoral forest on sand. Specimens preserved in alcohol.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.151389,-24.790278,"Phylloxylon xylophylloides",4061116872,"Anosy, Fort-Dauphin, Mahatalaky. Forêt littorale de Sainte Luce (S7).","MDG",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.550278,-13.221111,"Phylloxylon xylophylloides",4061911379,"Daraina, forêt d'Antsahabe. A 890 m du point côté 1088, au 139°. Pente: 8, orientation: 70, situation: arrête.","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.074722,-19.171111,"Phylloxylon xylophylloides",1257640276,"Moramanga, Beparasy. Echantillons préservées en alcool.","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.28666,-14.32861,"Phylloxylon xylophylloides",4032119747,"SAVA, Andapa, Doany, Andranomilolo, forêt d'Andrakengy. Récoltés avec C. Rakotovao, Landrie, José & Victor.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.68361,-24.94583,"Phylloxylon xylophylloides",4031503366,"Plot de suivi écologique dans la forêt humide de Tsimelahy (Ebosiky), versant ouest. Andohahela RNI.","MDG",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
