"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-100.091667,24.708333,"Piptochaetium stipoides",1895761244,"Along hihgway 58, 4 Mi O de junction with 2, north facing","MEX",50,1991,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-100.508333,24.508333,"Piptochaetium stipoides",1895761210,"Km 63.6 carretera Galeana-San Roberto","MEX",50,1987,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-100.291667,24.708333,"Piptochaetium stipoides",1895761174,"25 Km E of San Roberto along highway 58","MEX",50,1981,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-57.96666,-30.6,"Piptochaetium stipoides",4062152162,"Ruta 14","ARG",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-71.5153,-33.1756,"Piptochaetium stipoides",1318248314,"Reserva Nacional Lago Peñuelas, S side of Ruta 68 across from the park entrance, SE of Valparaiso ca. 20 km","CHL",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-122.6971,37.9445,"Piptochaetium stipoides",3053378818,"W of Bolinas Ridge, ca. 0.5 km E of St Hwy 1, between Coppermine and Wilkins gulches at Dogtown (Woodville), ca. 4 km N of Bolinas; S11 T1N R8W S11","USA",750,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.77,-36.78,"Piptochaetium stipoides",1802559461,"E of Chillan, S of Rio Chillan, W of Recinto on N-55","CHL",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-54.32069,-30.340612,"Piptochaetium stipoides",1929325230,"Serra Jaguarí","BRA",NA,1976,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-122.786111,38.094722,"Piptochaetium stipoides",1986962100,"Bolinas Ridge; 0.5 mi E of US Hwy 1 on dirt rd","USA",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-72.711944,-36.963056,"Piptochaetium stipoides",2598721761,"E of Concepcion provice line, between Copiulemu and Tomeco, on Ruta O-50, at km 32; -36.963 -72.712","CHL",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-72.189,-36.635,"Piptochaetium stipoides",2598721770,"S of Chillan, S of Nebuco on Ruta 5S, ca 2 km S of exit to Concepcion;","CHL",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-54.86667,-31.25,"Piptochaetium stipoides",3800710225,"Junto ao obelisco da paz na zona do Ponche Verde.","BRA",NA,1982,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-54.9,-31.35,"Piptochaetium stipoides",3800710217,"Potreiro do Sarandi na fazenda Santa Plácida de Aníbal Osório.","BRA",NA,1982,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-55.25,-29.033333,"Piptochaetium stipoides",1265927008,"Área do mato de pau ferro, na estrada de São Borja a Santiago BR - 287 (serra de Iguariaçá).","BRA",NA,1989,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-56.004167,-28.660833,"Piptochaetium stipoides",1090601376,"Garruchos, próximo ao Rincão do Pedregulho","BRA",NA,1988,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-55.66666,-27.46666,"Piptochaetium stipoides",1259524745,"Ruta Prov. 3, 2 Km del desvío de la Ruta Nac. 2 a Cerro Corá","ARG",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-55.7,-28.08333,"Piptochaetium stipoides",1259524715,"Ruta Prov. 40, 4 Km de Azara camino a Garruchos, cerca del Río Chimiray","ARG",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-65.38333,-41.63333,"Piptochaetium stipoides",1259524763,"Sierra Grande. Entre la base de la roca y la cumbre del cerro más alto.","ARG",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-55.26666,-27.86666,"Piptochaetium stipoides",1259525021,"Colonia Itacaruaré","ARG",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
