"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
135.53014,-15.9496,"Polygala dependens",1633069196,"Limmen NP Survey, Field Site No. 106","AUS",20,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.345104,-16.621731,"Polygala dependens",1633161644,"Sturt Plateau, Buchanan Hwy. Corymbia polycarpa / C. ferruginea woodland with Themeda, Chrysopogon and Eulalia on clayey red loam.","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.316722,-18.7335,"Polygala dependens",1633138147,"Tanami survey; Winnickie hills. Low Triodia hummock grassland on rocky undulating terrain.","AUS",20,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.166722,-17.800028,"Polygala dependens",1633138071,"Tanami survey; Cattle Creek Station, 25km West of Nicholson Bore. Eucalyptus pruinosa & Corymbia low open woodland over Triodia sp.","AUS",20,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.72987,-14.24524,"Polygala dependens",1633109798,"Nitmiluk. MHOW C. dichromophloia, E. tintinnans over very tall grassland of S. intrans & H. triticeus. South-eastern corner of Park","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.66305,-17.78129,"Polygala dependens",1633136993,"Tanami Survey; Wave Hill Station. 10 km NW of Stuart Bore.","AUS",20,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
139.159529,-19.90683,"Polygala dependens",2418701617,"98km NNW of Mount Isa.","AUS",2000,1991,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.181944,-20.027778,"Polygala dependens",2418911049,"Camooweal Caves NP. Nowranie Creek Road Crossing.","AUS",100,2010,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
133.666944,-18.071944,"Polygala dependens",2827601928,"Powell Creek Station, 2.2 km W of homestead, SE of Lake Woods, Davenport Murchison Ranges. Site name: NTTDMR0003.","AUS",50,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
141.500833,-21.975833,"Polygala dependens",2418861835,"Brackenburgh, NE of Middleton.","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
140.459516,-19.940155,"Polygala dependens",2418457737,"117km N of Cloncurry on Normanton Road.","AUS",2000,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
133.400168,-15.847617,"Polygala dependens",1633132679,"Sturt Plateau, Stuart Hwy; Euc. pruinosa / E. lEuc.ophloia woodland on waterlogged grey clay loam","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.383547,-16.31543,"Polygala dependens",1633161584,"Sturt Plateau, Stuart Hwy. Closed forest (almost) of Acacia shirleyi on grey clay loam.","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.8436,-20.0792,"Polygala dependens",2826651287,"120 km E of Barkly Homestead on Barkly Highway","AUS",100,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
