"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
138.764756,-18.405714,"Polygala difficilis",2418588168,"Lawn Hill Stn, NW of homestead.","AUS",100,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.192222,-17.795,"Polygala difficilis",2418750183,"Bowthorn Station, 33.4km NNW of Bowthorn homestead (Gulf site 370).","AUS",100,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
134.2125,-19.951389,"Polygala difficilis",2828233829,"33.6 km S of Tennant Creek.","AUS",250,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.64475,-20.862632,"Polygala difficilis",2418964966,"About 5km E of Praire (GPS 20 51 51 144 38 37)(site 266).","AUS",100,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
139.715278,-17.841667,"Polygala difficilis",2418795975,"21km SE of Burketown on Armraynald Station (Gulf site 237).","AUS",100,2003,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
142.888931,-19.808474,"Polygala difficilis",2418718112,"Richmond-Croydon Road, 123.2km from Richmond.","AUS",100,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.809534,-20.090166,"Polygala difficilis",2418793318,"100km NW of Mount Isa, 1.5km E of Inca Creek.","AUS",2000,1992,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.8225,-20.821944,"Polygala difficilis",2418930490,"23.4km east of Hughenden on Flinders Highway.","AUS",100,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
139.039167,-20.266389,"Polygala difficilis",2418959318,"106.8km east of Camooweal on Barkly Highway.","AUS",100,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.174722,-17.538611,"Polygala difficilis",2418586787,"21.9km SW of Hells Gate Roadhouse (Gulf site 345) on Turn Off Lagoons Station.","AUS",100,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.029444,-17.494167,"Polygala difficilis",2418927860,"25km west of Hells Gate Roadhouse on Westmoreland Stn adjacent to Lagoon Creek (Gulf site 292).","AUS",100,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
134.19635,-19.363587,"Polygala difficilis",2826852873,"Phillip Creek Station, Tennant Creek.","AUS",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
