"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-58.03333,-28.73333,"Polygala duarteana",1259758747,"Macrosistema Iberá. Estancia Rincón del Diablo, casco","ARG",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-57.57,-25.6,"Polygala duarteana",2284326764,"Estero del Ypoá. Villeta-Puerto-Guyrati. 10.5 km S of Villeta, W of Arroyo Pikysyry.","PRY",NA,1992,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-63.0997,-17.5844,"Polygala duarteana",2284194914,"Warnes Province. Pampa de Viru-Viru a 17 Km al N de ciudad Sta. Cruz, Aeropuerto Int. de Viru-Viru zona S.","BOL",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-62.177944,-34.364752,"Polygala duarteana",4011856434,"","ARG",1791,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-58.20518,-31.8807,"Polygala duarteana",3892373395,"","ARG",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-52.373611,-30.191667,"Polygala duarteana",1090611451,".","BRA",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-55.516667,-28,"Polygala duarteana",1259549828,"Camino paralelo a Ruta 2, hacia Concepción de la Sierra","ARG",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-58.21666,-30.51666,"Polygala duarteana",1259588830,"Cerca de San Jaime de la Frontera","ARG",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-91.982222,15.619167,"Polygala duarteana",1896079385,"El Mono bridge, on old road to Coban","GTM",NA,1971,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;DIFFERENT_OWNER_INSTITUTION"
-58.8176,-27.4868,"Polygala duarteana",1090551302,"Dep. San Cosme - Desvio a Pto. Gonzalez - 4km del cruce","ARG",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-63.031389,-32.484722,"Polygala duarteana",2251614534,"Ruta provincial nº 1: Proximidades de La Playosa, en el camino de Villa de María a San Francisco","ARG",5100,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.174167,-31.140278,"Polygala duarteana",2251612019,"Poco antes de llegar a La Calera","ARG",NA,1960,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.287778,-31.198889,"Polygala duarteana",2251611967,"Yendo de Pajas Blancas hacia Río Ceballos","ARG",1600,1957,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-63.773333,-32.259444,"Polygala duarteana",2251613824,"Villa Ascasubi, a orillas del Río Tercero","ARG",NA,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-63.738611,-29.711667,"Polygala duarteana",2251614176,"Arroyo San Miguel, cerca del cruce con ruta 9, sobre el camino a El Coro.","ARG",1000,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-65.240278,-24.895556,"Polygala duarteana",2251616468,"Ruta a San Lorenzo, pasando la entrada a Barrio La Loma, entre primer y segundo puente","ARG",NA,1981,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-64.583611,-31.198611,"Polygala duarteana",2251612063,"Sierra Chica, falda oeste: Santa Ana, a orillas del Río de la Suela, entre el monolito y Alta Gracia","ARG",1000,1957,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-63.112222,-30.895833,"Polygala duarteana",2251614095,"Entre Villa Fontana y La Para","ARG",1000,1952,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
