"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-102.83333,26.5,"Pomaria fruticosa",2807586735,"Canyon in E side of Sierra del as Margaritas about 13 Km N of Las Margaritas","MEX",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-103,26.35833,"Pomaria fruticosa",2807605918,"Old candelilla camp, canyon in NW side of Sa de las Delicias, about 3 Km S of Puerto de Sardinas","MEX",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-103.95,25.7,"Pomaria fruticosa",2807443930,"NW third of Sa del Rosario","MEX",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-103.1,26.36667,"Pomaria fruticosa",2807426781,"Ca 32 (air) mi NE of Tlahualilo, in the NW portion of the Sa de las Delicias, in the First Canyon S of of the Puerto de las Sardines","MEX",NA,1973,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-104.6254655,25.7913633,"Pomaria fruticosa",1895495133,"9 mi of E de La Zarca rte # 30","MEX",1610,1958,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
-103.21667,25.06667,"Pomaria fruticosa",2807304946,"Ca 54 air Km SSE of Torreón in canyon above Estación Otto in SW side of the Sa de Jimulco near Mina San José","MEX",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-102.85,26.56667,"Pomaria fruticosa",3125116270,"12.6 km NNE of Las Margaritas in large canyon in the E. face of the Sierra de las Margaritas","MEX",NA,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-103.2,25.183,"Pomaria fruticosa",3308135794,"Sierra de Jimulco, cañónes Alto Palomillo, El Chicharron, al N-NE de la sierra.","MEX",50,2005,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-104.6215764,25.5895974,"Pomaria fruticosa",1895495141,"16 mi S of El Entronque (La Zarca)","MEX",1610,1955,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_REPROJECTED;COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-103.338889,25.636389,"Pomaria fruticosa",1895495109,"Ca 54 air Km SSE of Torreón in canyon above Estación Otto in SW side of the Sa de Jimulco near Mina San José","MEX",50,1980,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-102.833,26.575,"Pomaria fruticosa",3308332207,"Canyon in E. side of Sierra de las Maraga Margaritas about 13 km. N. of Las Margaritas","MEX",50,1973,"PRESERVED_SPECIMEN","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
