"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.585278,-13.094167,"Premna perplexans",1257978018,"Daraina, forêt de Solaniampilana-Maroadabo. Forêt sèche claire sur sable. Pente: 18, orientation: 355, situation: bas-versant. A 1030 m du point côté 109, au 308°.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.2875,-22.813333,"Premna perplexans",1257725882,"Sakaraha, Mahaboboka, Fokontany Marotsiraka Betsileo, along Bevoalavo river, at the bottom of the hill SW of th Ambinanintelo village.","MDG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.65861,-12.87888,"Premna perplexans",4032096325,"SAVA, Vohemar, Ampisikina, Antsampilay, Ankaramy, Analabe Ampanasana, 17 km au Sud ouest du commune d'Ampisikina. Forêt sèche sur substrat sableux. Récolté avec L.J. Razafitsalama, A. Rakotondrafara, Zamany & Ambazoky.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.167545,-12.21436,"Premna perplexans",3902608369,"","MDG",3,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
47.49861,-15.56666,"Premna perplexans",4062170505,"Faritany: Mahajanga, Fivondronana: Port Bergé, Bongolava. Fokontany: Andranomena II. Forêt sèche d'Andranomena II. Récolté avec R. Ramananjanahary & A. Tombomarina (guide).","MDG",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.692222,-22.886389,"Premna perplexans",4061035014,"Zombitse National Park. Along trail to the west of the main parking lot just off of National Route #7. Specimens preserved in alcohol.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.518611,-18.0725,"Premna perplexans",2268876100,"Beanka, partie sud. Sarodrano","MDG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
44.633333,-23.166667,"Premna perplexans",4062007068,"Soaserana","MDG",NA,1952,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.391667,-22.575,"Premna perplexans",1258357297,"Route Ihosy-Ivohibe","MDG",NA,1955,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
46.383333,-15.608333,"Premna perplexans",1258348201,"Dunes a Ampazony au nord de Majunga.","MDG",NA,1965,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
