"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
10.1251,1.5353,"Prioria joveri",3476773287,"","GNQ",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
13.033333,4.2,"Prioria joveri",346669432,"Forêt de Kong.","CMR",NA,1959,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
13.516667,5.2,"Prioria joveri",346669437,"Près Deng Deng. Subdivision de Bertoua.","CMR",NA,1955,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
11.366667,3.85,"Prioria joveri",346669426,"Mont Kala 18 km route Yaoundé-Edéa.","CMR",NA,1969,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
10.25,0.433333,"Prioria joveri",2517478709,"Crystal Mountains, Kinguélé, next to Mbé-Bori I river.","GAB",NA,2004,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.366667,0.733333,"Prioria joveri",2515945559,"Inventory Oveng; primary rain forest, ca 25 km WSW of Mintsic.","GAB",NA,1987,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.48444,-0.95893,"Prioria joveri",2013840710,"","GAB",NA,2017,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES"
12.42915,-0.75502,"Prioria joveri",2013840733,"","GAB",NA,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
10.516667,0.9,"Prioria joveri",2515939398,"NW de Mbe Akelayong, 1200m on transect Y.","GAB",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
12.066667,5.6,"Prioria joveri",2515913784,"Forêt de Kong, feuille IGN 1/200.000 Yoko.","CMR",NA,1959,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
10.3,0.75,"Prioria joveri",2517828366,"Crystal Mountains, 10625m on transect F.","GAB",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
10.525,2.734444,"Prioria joveri",2516117387,"Efoulan, Egongo Hills in Akom II area.","CMR",NA,2000,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.3,0.7,"Prioria joveri",1936367244,"Chantier Rougier, Oveng, ca, 40 km W of Mintsic","GAB",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
10.416667,1.541667,"Prioria joveri",2013866273,"no locality data.","GNQ",NA,1959,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
9.483333,5.066667,"Prioria joveri",2516125114,"entre Ekona et Boubaji, près Supe, 40km N de Kumba, feuille IGN 1/200.000 Mamfe.","CMR",NA,1975,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
11.43,3.08,"Prioria joveri",4066377484,"Colline Nkouandjom, près Ngoakélé (de 700m à 1043m), à 25km à l'W de Ngoulemakong (route Mbalmayo-Ebolowa).","CMR",NA,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
10.316667,1.65,"Prioria joveri",218788079,"Parc National de Monte Alen, transect de Monte Chocolate","GNQ",1000,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
