"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
37.55,-17.46666,"Pseudobersama mossambicensis",1260620897,"Maganja da Costa, floresta de Gobene, prox. da praia Ranaga, ao km. 36 de Vila de Maganja (Hh).","MOZ",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.726389,-5.005,"Pseudobersama mossambicensis",2515913354,"Kwetango Village.","TZA",NA,2008,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
39.066667,-5.083333,"Pseudobersama mossambicensis",4014175521,"","TZA",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
39.082342,-6.899537,"Pseudobersama mossambicensis",3863886958,"Mambizi road","TZA",NA,1961,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
37,-7.8,"Pseudobersama mossambicensis",2515856150,"T6 Magombera Forest Reserve.","TZA",NA,1976,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
37.85,-6.96666,"Pseudobersama mossambicensis",4031488256,"Ruvu Forest Reserve, FTEA region T6","TZA",NA,2000,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.416667,-4.233333,"Pseudobersama mossambicensis",4062128426,"Kwale District: Shimba Hills, Mandakara Forest","KEN",NA,1975,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
38.81222,-6.93361,"Pseudobersama mossambicensis",4061535219,"T6. Lowland disturbed forest of Ufang'ombe area in coastal forest (Ruvu South).","TZA",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.216667,-10.116667,"Pseudobersama mossambicensis",4061565604,"microphylla, Albizia & Faure saligna, stony-gravelly soil.","TZA",NA,1991,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
37.05,-7.916667,"Pseudobersama mossambicensis",4061633321,"Ulanga District: Magombera Forest Reserve","TZA",NA,1961,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.833333,-3.5,"Pseudobersama mossambicensis",4061637305,"Sokoke Forest","KEN",NA,1954,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.4,-4.45,"Pseudobersama mossambicensis",4061823691,"","KEN",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.51666,-4.33333,"Pseudobersama mossambicensis",4061089805,"","KEN",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.916667,-3.633333,"Pseudobersama mossambicensis",4061063455,"Kilifi District: 8 km. NE of Kilifi","KEN",NA,1961,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
39.58333,-3.95,"Pseudobersama mossambicensis",1260867765,"Kaya Mudzimuiru","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
34.919998,-18.76,"Pseudobersama mossambicensis",3992743611,"Sofala, Levasflor, +- 400 m SSE of sawmill next to the chalets","MOZ",NA,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
38.862778,-6.966667,"Pseudobersama mossambicensis",2427475151,"Ruvu South Forest Reserve, Mfyoza area (Site 3).","TZA",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
39.71666,-3.26666,"Pseudobersama mossambicensis",1260866398,"","KEN",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.41666,-10,"Pseudobersama mossambicensis",1260857113,"Chitoa Forest Reserve; Legume dominated forest","TZA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
40.66666,-14.96666,"Pseudobersama mossambicensis",4062174549,"Nampula, Mossuril, Serra de Kesa. Solo calcário rochoso.","MOZ",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
36.97883,-7.8201,"Pseudobersama mossambicensis",2269025484,"Kilombero Valley. Magombera Nature Reserve. Ngulumilo Transect.","TZA",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
34.697128,-19.564951,"Pseudobersama mossambicensis",866267854,"Ao km 40 da Beira, estrada para Vila Pery.","MOZ",NA,1965,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
32.648333,-26.475278,"Pseudobersama mossambicensis",866268101,"Bela Vista, Salamanga, Reserva de Caça de Maputo.","MOZ",NA,1969,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
32.480459,-26.532086,"Pseudobersama mossambicensis",866267938,"Bala Vista, caminho Tinonganine a Freire, na floresta do Liquati.","MOZ",NA,1957,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
