"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-57.826972,-16.061917,"Psittacanthus plagiophyllus",3381085332,"Córrego Padre Inácio, Sítio Duas Irmãs.","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-57.515889,-15.752222,"Psittacanthus plagiophyllus",3381085371,"Aproximadamente 1,3 km do rio Exú, estrada da fazenda Três Ranchos.","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-57.656222,-16.016944,"Psittacanthus plagiophyllus",3381085374,"Via Perimetral.","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-57.903278,-15.476444,"Psittacanthus plagiophyllus",3381085393,"Rodovia MT 125, No sentido Curvelândia 1,5 km antes da ponte do Rio Cabaçal.","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;CONTINENT_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-72.728611,-8.267222,"Psittacanthus plagiophyllus",2268945277,"Bacia do Rio Juruá. Riozinho Cruzeiro do Vale, arredores da cidade de Porto Walter.","BRA",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-62.0811,-8.9256,"Psittacanthus plagiophyllus",3498248530,"Campina.","BRA",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-67,-0.163611,"Psittacanthus plagiophyllus",1042702491,"Estrada SGC-Camanaus","BRA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-68.32,-4.65,"Psittacanthus plagiophyllus",1042477294,"Igapó, Rio Jutai, Igapó St. Antônio.","BRA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-62.25,-0.116667,"Psittacanthus plagiophyllus",1042467719,"Along Cuiuini River (Black waters) up to 5 Km N of boat. Boat stationed","BRA",NA,1996,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-61.13,2.7395,"Psittacanthus plagiophyllus",1042700711,"Parque Nacional do Viruá, Estrada Perdida, entre os kilometros 5 e 7.","BRA",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
