"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-105.203545,36.839642,"Ptilagrostis porteri",1843909145,"Vermejo Park Ranch: north part of Elk Meadows; 1.1 air mi ENE of summit of little Costilla Peak.","USA",NA,2008,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_UNCERTAINTY_METERS_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-105.47005,39.26832,"Ptilagrostis porteri",2242390267,"Pike National Forest, Lost Creek Wilderness Area, East Lost Park Natural Area, ca. 2.2 air miles SE of Lost Park Campground. Windy Peak quad. Ca. 300 meters S. of Lost Creek.","USA",NA,2012,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-105.712639,39.511472,"Ptilagrostis porteri",2242389746,"Pike National Forest, along County Road 62, paralleling Geneva Creek, ca. 4.5 air miles NW of Grant (jct. US Hwy 285), opposite road from Burning Bear Campground.","USA",NA,2012,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-105.623862,39.346617,"Ptilagrostis porteri",2573526027,"Pike National Forest. Long Gulch, north of the road to Lost Park, 11.3 mi E of Jefferson.","USA",500,1982,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-105.650727,39.261291,"Ptilagrostis porteri",1929746795,"11.3 mi. SE of Jefferson on road to Lost Park.","USA",NA,1966,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-106.10033,39.38334,"Ptilagrostis porteri",2573474438,"North base of North Star Mt., in valley of Monte Cristo Creek.","USA",1000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-104.993044,39.008277,"Ptilagrostis porteri",2573469427,"Rampart Range crest, NE of Woodland Park; Farrish Recreation Reserve, U. S. Air Force Academy.","USA",1000,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-106.118965,39.310691,"Ptilagrostis porteri",2573465432,"Buckskin Creek, Pike National Forest.","USA",1000,1959,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-105.983046,39.310494,"Ptilagrostis porteri",2573524645,"SE slope of Palmer Peak.","USA",1000,1986,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
-105.001983,39.004375,"Ptilagrostis porteri",2573526035,"USAF Academy, Farrish Memorial Recreation Area.","USA",500,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;AMBIGUOUS_INSTITUTION"
