"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
151.546076,-26.417582,"Pultenaea bracteaminor",2418706102,"Pederson Road, S of Wondai-Durong road.","AUS",100,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.439583,-25.308694,"Pultenaea bracteaminor",2418810827,"Nour Nour National Park, Hungry Hills.","AUS",100,2014,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.047222,-28.196111,"Pultenaea bracteaminor",2418495151,"Headwaters of Pariagara Creek, 7km W of Bringalily Forestry Lookout Fire Tower (abandoned).","AUS",100,1992,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.142755,-26.540085,"Pultenaea bracteaminor",2418737574,"28.5km S of Durong South, Dalby road.","AUS",2000,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.840531,-25.682863,"Pultenaea bracteaminor",2418723208,"Bojimba Ridge, Narayen, W of Mundubbera.","AUS",100,2001,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.75108,-25.334528,"Pultenaea bracteaminor",2418889661,"Telemark, GHPL 6RW323, 37km W of Eidsvold.","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.09,-25.445556,"Pultenaea bracteaminor",2418463710,"Near Ross Crossing, SW of Eidsvold.","AUS",100,2016,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.964703,-26.371754,"Pultenaea bracteaminor",2418424108,"Durah road, Barakula State Forest, NE of Chinchilla.","AUS",100,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.734691,-25.25675,"Pultenaea bracteaminor",2418460698,"Telemark, GHPL 6RW323, 40km WNW of Eidsvold.","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.388061,-25.474436,"Pultenaea bracteaminor",2418990967,"6km up Gurgeena Plateau Road. Eidsvold map, grid ref: 9147-378813.","AUS",100,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.927464,-26.330082,"Pultenaea bracteaminor",2418626839,"Browns Track, State Forest 12, E of Wondai (GPS 26 19 54 151 44 35).","AUS",100,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.248578,-25.953418,"Pultenaea bracteaminor",2418720839,"Hassall Road, S of Mundubbera (GPS 25 57 18 151 14 51).","AUS",100,1997,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.376101,-26.406754,"Pultenaea bracteaminor",2418747717,"Chinchilla Forestry near Pelham Bridge [Barakula SF].","AUS",2000,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.063611,-25.0725,"Pultenaea bracteaminor",2418778445,"Roselea, NW of Abercorn.","AUS",100,2016,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
151.121664,-28.56147,"Pultenaea bracteaminor",2418767212,"Bracker SF C 4.5km SE of Forestry Tower (GPS 28 33 47 151 07 14)","AUS",100,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.859413,-25.290083,"Pultenaea bracteaminor",2418984553,"28km west northwest of Eidsvold, on road to Tireen.","AUS",2000,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
