"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
49.1,-12.75,"Pyrenacantha chlorantha",1260840294,"Ankarana, Matsaborimanga, canyon d'accès au Tsingy au dessus de la grotte des anglais","MDG",NA,1997,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.30833,-18.84222,"Pyrenacantha chlorantha",4031603979,"Moramanga, Commune:Andasibe, Fokontany: Menalamba. Ambatovy forest","MDG",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
46.85,-16.33333,"Pyrenacantha chlorantha",1258894916,"Station forestière d'Ampijoroa, ca. 3.0 km N d'Andranofasika. Forêt sèche sur sable à l'Est du Lac Ampijoroa.","MDG",NA,1984,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
48.45,-18.883333,"Pyrenacantha chlorantha",1261469786,"Andasibe (Perinet), N of road from Antananarivo to Tamatave. NNW of Izouard graphite mine on road to Col de la Mantady. Dense rain forest on slopes N of road 1 km E of Col.","MDG",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
49.433333,-14.783333,"Pyrenacantha chlorantha",1260840324,"Forêt d'Analabe, versant ouest de la réserve spéciale d'Anjanaharibe-Sud, 13.5km SW de Befingotra","MDG",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.784167,-18.430556,"Pyrenacantha chlorantha",1257727267,"Brickaville, Maroseranana, Ambodilendemy. Vers le sommet d'Ankerana.","MDG",NA,2011,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.28333,-14.06666,"Pyrenacantha chlorantha",1258900756,"Est Ankaramy-be, Réserve Spécial de Manongarivo, Antsatrotro. Echantillons préserve en alcool. Recolte avec D. Fenozara, et C. Velomaro.","MDG",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.96333,-18.39361,"Pyrenacantha chlorantha",1260052194,"Fivondronana: Anjozorobe, village le plus proche: Amboasary. Forêt humide de moyenne altitude d'Ambohimanga. Echantillon préservé en alcool. Récolté avec R. Andrianasolo, D. Rabehevitra, L. Faranirina, N. Rakotonirina, R. Raharijaona & Ingahy Jean (guide).","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.43333,-13.98333,"Pyrenacantha chlorantha",4060914215,"Crête entre les deux pres d'Ambahatra","MDG",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.1,-12.9,"Pyrenacantha chlorantha",438867121,"Matsaborimanga","MDG",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
48.13333,-18.88333,"Pyrenacantha chlorantha",439536459,"","MDG",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
48.34,-18.81388,"Pyrenacantha chlorantha",1260915653,"Faritra Alaotra Mangoro, Fivondronana Moramanga, firaisana Ambohibary, fokontany Ampitabe, Ambatovy. Zone de conservation sur cuirasse. Récolté avec B. Ratodimanana, M. Ratojoniaina.","MDG",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.706944,-12.958333,"Pyrenacantha chlorantha",1257985536,"Daraina, forêt d'Ampondrabe. A 990 m du point côté 594, au 96°.","MDG",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.38833,-14.08361,"Pyrenacantha chlorantha",1258380413,"Réserve Spéciale de Manongarivo, Mont Antsatrotro. Récolté avec B. Lewis, P.J. Rakotomalaza, G. Rahajasoa, M. Randriambololona & F. Andriatsiferana.","MDG",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
