"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-8.401111,7.691111,"Rangaeris muscicola",2268885131,"Guinée Forestière. Mont Nimba, Versant Zougé.","GIN",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
10.53863,2.74928,"Rangaeris muscicola",1258171679,"Akom II (route Kribi-Ebolowa). Campement à 3 h de marche au S du village. Relevé permanent (1 ha) sur versant de la colline siruée à l'O du campement.","CMR",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-8.343333,7.642222,"Rangaeris muscicola",2268884319,"Mont Nimba, près de la savane de Gbié, près cabane des écogardes.","GIN",NA,2012,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
30.274274,-30.691651,"Rangaeris muscicola",4029223196,"","ZAF",300,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.604818,-11.168835,"Rangaeris muscicola",3698203015,"","ZMB",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-8.3075,7.631667,"Rangaeris muscicola",2268898387,"Mont Nimba, plantation près du village de Burata.","GIN",NA,2013,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
30.28179,0.66102,"Rangaeris muscicola",3499566439,"","UGA",200,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
33.68544,-10.53906,"Rangaeris muscicola",3988493295,"","MWI",50,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
29.866945,-9.797222,"Rangaeris muscicola",3698363346,"","ZMB",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
33.465507,-14.26332,"Rangaeris muscicola",3860421980,"","MWI",NA,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
