"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
30.866403,-24.584547,"Rhoicissus rhomboidea",2802591534,"","ZAF",1826,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.7611,-28.962,"Rhoicissus rhomboidea",1838366850,"","ZAF",1,2014,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.838194,-29.727974,"Rhoicissus rhomboidea",3307313325,"","ZAF",1332,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.507631,-25.301246,"Rhoicissus rhomboidea",3407951164,"","ZAF",597,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.110322,-29.682972,"Rhoicissus rhomboidea",3889256335,"","ZAF",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.07719,-29.572998,"Rhoicissus rhomboidea",2803105455,"","ZAF",10,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.322023,-30.907412,"Rhoicissus rhomboidea",3307472746,"","ZAF",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.0458,-31.24527,"Rhoicissus rhomboidea",3302485931,"","ZAF",3,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
30.644749,-30.462516,"Rhoicissus rhomboidea",3759233143,"","ZAF",300,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.390707,-30.834079,"Rhoicissus rhomboidea",2269305834,"","ZAF",48,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
29.491108,-23.015094,"Rhoicissus rhomboidea",2311273910,"","ZAF",12,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.405395,-30.822222,"Rhoicissus rhomboidea",2868341664,"","ZAF",65,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.835183,-26.984617,"Rhoicissus rhomboidea",2563494990,"","ZAF",5608,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.771563,-27.268452,"Rhoicissus rhomboidea",1883470959,"","ZAF",122,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.779182,-30.203457,"Rhoicissus rhomboidea",3383832654,"","ZAF",212,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.500703,-25.586388,"Rhoicissus rhomboidea",2851311576,"","ZAF",7,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.348503,-30.317211,"Rhoicissus rhomboidea",3963408671,"","ZAF",300,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
25.639053,-32.675836,"Rhoicissus rhomboidea",1288085220,"Eastern Cape;Somerset East, Glen Avon Falls","ZAF",NA,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
30.479257,-27.323345,"Rhoicissus rhomboidea",2818740814,"","ZAF",929,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.15,-30.969999,"Rhoicissus rhomboidea",3818237622,"KwaZulu-Natal, Umtamvuna Nature Reserve, Smedmore, on sandy loam","ZAF",NA,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
32.676457,-27.541204,"Rhoicissus rhomboidea",3399123193,"","ZAF",25,2005,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.047839,-23.768278,"Rhoicissus rhomboidea",2456533575,"","ZAF",65,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.682847,-30.393646,"Rhoicissus rhomboidea",3457107261,"","ZAF",12,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.42158,-25.617458,"Rhoicissus rhomboidea",2802590144,"","ZAF",11,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
30.316667,-22.9,"Rhoicissus rhomboidea",2516151382,"South Africa, Transvaal Prov., Dist. Sebasa, 3 miles S of Lake Funduzi","ZAF",NA,1954,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
32.5353,-28.1809,"Rhoicissus rhomboidea",3113465711,"","ZAF",100,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-117.166667,32.666667,"Rhoicissus rhomboidea",1259022819,"Balboa State Park; San Deigo Zoo; zoo grounds, cultivated collection.","USA",NA,1992,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-2.68,41.96,"Rhoicissus rhomboidea",1050601746,"Vitoria-Gasteiz; Barrio de El Pilar","ESP",NA,1996,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COORDINATE_PRECISION_INVALID;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
32.022908,-26.613553,"Rhoicissus rhomboidea",2802563492,"","SWZ",918,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
31.095942,-25.78078,"Rhoicissus rhomboidea",2802616475,"","ZAF",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
22.138163,-34.180022,"Rhoicissus rhomboidea",3355100786,"","ZAF",20,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.768669,-19.125719,"Rhoicissus rhomboidea",3470255869,"Vumba, Castleburn forest","ZWE",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
