"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
11.96437,-0.38889,"Rinorea angustifolia",4061886382,"Forêt des Abeilles. Au sud du camp 3. Etude d'impact environnementale sur le fuseau Est-Est de la Route Nationale. Concession forestière ATG.","GAB",NA,2021,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
47.00972,-24.84944,"Rinorea angustifolia",4061505673,"Anosy, Taolagnaro, Mahatalaky, Farafara Vatambe. Forêt de Farafara. Récoltés avec C. Rakotovao, D. Rabehevitra, R. Ramison & Raymond.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.98,-13.66,"Rinorea angustifolia",4061779632,"Ampasindava, forêt de Andranomatavy. A 1334 m du point côté 668, au 127°.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.31166,-12.83583,"Rinorea angustifolia",1260639308,"Antsiranana, Analamahitsy, récolte le long de la route entre Ambondromifehy et Anivorano Nord, PK 86,5.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.847222,-13.872222,"Rinorea angustifolia",4061004562,"Tsaratanana RNI. River Ramena. 1-2 km southwest of junction with river Andilambe. Low elevation evergreen humid forest on granite. Ricolt|4e avec Patrice Antilahimena.","MDG",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.779722,-16.825833,"Rinorea angustifolia",2268928250,"District Soanierana Ivongo. Commune rurale d'Antanifotey. FKT Antsiraka. Forêt partie nord Est de CDU Antsiraka, près de la mer. Récolte avec Jacques et Guy Jean Claude et Lesabotsy Pascal.","MDG",NA,2016,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.283333,-14.066667,"Rinorea angustifolia",2268876181,"Besinkara. Chemin d'Ambodisakoana a Ambalafary, sur le plateau","MDG",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.141667,-24.571389,"Rinorea angustifolia",4061233044,"District Fort Dauphin, Commune Iaboakoho, Fokontany Iaboakoho. Forêt d'Ampasina, Au bord de la rivière Analamahavozaky.","MDG",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
11.45,0.866667,"Rinorea angustifolia",4061930286,"Secondary forest near Essong, about 5 km. NW of Mitzic, along exploitation road.","GAB",NA,1983,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
50.015556,-13.382778,"Rinorea angustifolia",3946770780,"Vohémar, site d'exploitation de Vanille de Floribis.","MDG",NA,2021,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
12.7671,0.60777,"Rinorea angustifolia",3946832199,"Ogooué-Lolo, Concession CEB, Zone de milolé, vers la réserve.","GAB",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
50.050556,-14.106111,"Rinorea angustifolia",4061071421,"Région SAVA, District Sambava, Commune Rurale Anjangoveratra, Fokontany Ambavala. Forêt d'Anjombalava.","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.166667,-24.532778,"Rinorea angustifolia",4061798712,"Commune: Manantenina. Fokotany: Antanitsara. Village le plus proche: Antanisoa.","MDG",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.53416,-9.72555,"Rinorea angustifolia",4061006223,"T8. Mchinga Division, Kilangala Village, Ruawa Forest Reserve, below Likonde Plateau, SE of Likonde settlement. Dry mixed forest dominated by Scorodophloeus, Asteranthe, Bombax, Sterculia, Drypetes, and Cola. Transect #3.","TZA",NA,2003,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
49.45385,-17.7061,"Rinorea angustifolia",4061652429,"Analalava","MDG",NA,2008,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
48.669167,-13.636944,"Rinorea angustifolia",2268974744,"Province Antsiranana; Region Diana; District Ambanja. Lower slopes of Kalabenono. Across river and up hill from small tavy settlement, Androkarota.","MDG",NA,2009,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.329167,-17.923611,"Rinorea angustifolia",4061802121,"District de Toamasina II, Commune d'Antetezambaro, Fokontany d'Ampasina, village de Belalimaitso, forêt de Menagisy.","MDG",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
13.23475,1.02034,"Rinorea angustifolia",4062034982,"Mount Bélinga Chain, 60 km NE of Makokou.","GAB",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
13.083333,-1.75,"Rinorea angustifolia",4061928410,"Km 30 Moanda-Bakoumba.","GAB",NA,1970,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
39.165833,-8.2575,"Rinorea angustifolia",1257540540,"Tambulu Forest Reserve, with Hymenaea verrucosa, Vitex doniana and Baphia kirkii. Transect 3.","TZA",NA,2007,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
49.22833,-13.12055,"Rinorea angustifolia",4061561257,"Ambilobe, Betsiaka, forêt d'Andavakoera, 8 km au Nord de Betsiaka, Dilan'Antemoro. Forêt sclérophylle, substrat rocheux. Récolté avec R. Guittou & E. FENOZANDRY.","MDG",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
