"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
135.644166,-16.124888,"Rothia indica",1633076626,"Limmen NP, Billengarah block. Drainage line between rises. Site 377","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.50043,-13.06975,"Rothia indica",1633155017,"Arafura survey. Mitchell Ra., Arnhem Land; braided stream bed; deep sand; occasionally flooded; shrubland, mostly open.","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.960163,-13.606434,"Rothia indica",1633270285,"at KFP40","AUS",NA,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.70436,-16.30344,"Rothia indica",1633158588,"Limmen NP, Billengarah block, Batman creek just north of Nathan River Road turnoff. Corymbia bella levee system over Sorghum plumsoum and stylosanthes. Site 420","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
109.290833,12.197778,"Rothia indica",3424036315,"","VNM",NA,2021,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
137.50969,-20.9912,"Rothia indica",1633249863,"","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.68372,-16.39346,"Rothia indica",1633074770,"Limmen NP, Billengarah block. Corymbia terminalis and Eucalyptus chlorophylla over perennial tussock grasses (Chrysopogon, Sehima, Eulalia). Site 315","AUS",20,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
80.32,9.6,"Rothia indica",1096703387,"Flora of Ceylon. Jaffna Distr., just SW of Pallai.","LKA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
79.7659,11.9523,"Rothia indica",4035428760,"","IND",NA,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
78.3029,10.1011,"Rothia indica",4035436272,"","IND",NA,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
