"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-89.863246,30.482237,"Rottboellia rugosa",1846544888,"Wet woods at LaCombe Bayou, west of Gulf, Mobile, and Ohio Railroad NW of Hickory.","USA",5000,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-90.70349,30.3006,"Rottboellia rugosa",2807461940,"S of Hwy 96, 0.5 mi. W of its jct. with Hwy 146 in League City.","USA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-93.84444,30.43056,"Rottboellia rugosa",2807603265,"In pine plantations N of TX 253 on gravel rd. 2.6 mi. W of jct. TX 87, Sudduth Bluff 7.5' Quad.","USA",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-95.878233,31.976852,"Rottboellia rugosa",2826417319,"","USA",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-92.0645,33.05191,"Rottboellia rugosa",3435788146,"West Gulf Coastal Plain. Floodplains and Low Terraces Ecoregion. USGS Felsenthal Dam 7.5' Quad. Coffee Prairie Natural Area. 2.2 miles SW of Sulphur Springs & 0.4 mi. N of Coffee Lake.","USA",100,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-92.55779,33.5706,"Rottboellia rugosa",3435788803,"West Gulf Coastal Plain. Pleistocene Fluvial Terraces Ecoregion. USGS Woodberry 7.5' Quad. 5.6 miles WNW of Hampton, along the S side of CR-218, 0.2 miles E of the CR-14 jct.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-92.49091,33.44104,"Rottboellia rugosa",3435788896,"West Gulf Coastal Plain. Pleistocene Fluvial Terraces Ecoregion. USGS Artesian 7.5' Quad. Moro Big Pine Natural Area S of Hampton, on the E side of TAR-015, 1.4 miles NW of the US-167 jct.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-81.973285,26.763077,"Rottboellia rugosa",2294446634,"","USA",4,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-91.65829,34.78152,"Rottboellia rugosa",3695148153,"Railroad Prairie Natural Area. In low area between the north ditch of Hwy 70 and the abandoned railroad bed, approximately 0.25 mile west of the west end of Hanson's Reservoir (but across Hwy 70). T2N R6W S20 SE4 SW4","USA",100,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-76.94919,34.85594,"Rottboellia rugosa",1930709044,"Croatan National Forest. Forest Service Road 601, in area of power-line cut West of road","USA",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-81.124722,32.543611,"Rottboellia rugosa",1986914271,"4.8 mi south of SC 652 on Co. Rt. S27-58","USA",NA,1968,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
