"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
145.92,-18.02,"Scleria poiformis",2827884168,"c. 20 km N of Kennedy on Bruce Highway","AUS",1000,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
135.047759,-12.365437,"Scleria poiformis",1633154935,"Arafura Swamp survey. NE of Murwangi. Scleria poaeformis sedgeland with scattered fringing Melaleuca. Black clay in paleo channel, water 15cm deep.","AUS",20,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.236667,-13.157222,"Scleria poiformis",1633064916,"Labelle station. Margin of Melaleuca swamp. Clay survey quadrat 2.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.3775,-12.826111,"Scleria poiformis",1633042329,"Dundee Beach area? Back swamp, free water at surface; black organic soil.","AUS",20,1997,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.437188,-13.003345,"Scleria poiformis",2850118047,"FIN8/13a","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.636704,-12.255043,"Scleria poiformis",2850238323,"BLYMA3","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.785318,-13.93556,"Scleria poiformis",2850177271,"Top End","AUS",7,1993,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.386288,-13.821748,"Scleria poiformis",2850206904,"FINN1/2","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.816583,-12.270185,"Scleria poiformis",1633002590,"Arafura; Gatji area; seasonal back-swamp behind levee of creek on edge of coastal plain; grey cracking clay; sedgeland","AUS",20,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.059987,-14.15025,"Scleria poiformis",2850201675,"MOY10/13","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
146.033333,-18,"Scleria poiformis",2827329963,"Lower Tully, Googarra Road","AUS",NA,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
141.89,-13.770278,"Scleria poiformis",3749146520,"c. 1 km SW of Blue Lagoon Camp, c. 50 km S of Aurukun, Cape York Peninsula.","AUS",50,2018,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.937778,-13.099167,"Scleria poiformis",2827187636,"Lagoons on the southern side of Lockhart Road, just before the Wenlock River crossing, Piccaninny Plains (Station) Wildlife Sanctuary.","AUS",50,2008,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.382477,-12.834331,"Scleria poiformis",1633549957,"","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.657689,-13.551747,"Scleria poiformis",2850169871,"SDAL2/19","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.458692,-12.400043,"Scleria poiformis",2850257834,"ADE10/12","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.787886,-14.24985,"Scleria poiformis",2850128784,"MOY14/2a","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.235987,-13.441747,"Scleria poiformis",2850253891,"NTHDA7/4","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
32.513341,-28.18151,"Scleria poiformis",3712443938,"","ZAF",31,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.482746,-28.142436,"Scleria poiformis",2814255583,"","ZAF",1263,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
146.159442,-18.656789,"Scleria poiformis",2418571962,"Treatment works, Ingham.","AUS",2000,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
145.242769,-15.423473,"Scleria poiformis",2418478731,"Base of Mt. Saunders, NNE of Cooktown, North Shore.","AUS",2000,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
131.1,-12.566667,"Scleria poiformis",3749167638,"Alligator River. Humpty Doo NT.","AUS",1000,1958,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
131.283333,-12.566667,"Scleria poiformis",2853680749,"Fogg Dam","AUS",NA,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
99.3,19.933333,"Scleria poiformis",2513705867,"Thailand, Northern: 12 km SE of Fang along the Fang-Chiengrai trail.","THA",NA,1968,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
144.066667,-4.066667,"Scleria poiformis",2515073382,"Angoram, East Sepik province.","PNG",NA,1985,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
116.033333,5.883333,"Scleria poiformis",2515104430,"Plants of Borneo. Malaysia. Sabah. Kota Kinabalu District: Putan Marsh.","MYS",NA,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
48.533333,-20.583333,"Scleria poiformis",1261527388,"Route Mananjary - Nosy-Varika. Marais.","MDG",NA,1964,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
101.75,16.333333,"Scleria poiformis",2513705719,"Thailand, Eastern, Province Chaiyaphum, Tunkamang.","THA",NA,1971,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
103.666667,15.55,"Scleria poiformis",2513703854,"Thailand, E: Roi Et, Thung Kula Rong Hai.","THA",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
131.033333,-12.366667,"Scleria poiformis",2853641295,"Darwin area","AUS",NA,1973,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.1289,-14.5181,"Scleria poiformis",2827546406,"4 km W of headwaters Cui-eci Creek.","AUS",5000,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.233889,-18.714722,"Scleria poiformis",2829736433,"10 km SE of Ingham.","AUS",3000,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.56644,-15.12035,"Scleria poiformis",2829524254,"Morehead River, creeks junction","AUS",25,2015,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.32,-16.63,"Scleria poiformis",2828764621,"Abattoir Swamp, 4.5 km N of Mount Molloy.","AUS",5000,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
130.57,-13.1,"Scleria poiformis",2828979058,"Dry Lake, Wagait Reserve.","AUS",NA,1987,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
110.2,25.23,"Scleria poiformis",4042945282,"","CHN",NA,1952,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
32.882508,-26.823892,"Scleria poiformis",3988472716,"","MOZ",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
32.497392,-28.200349,"Scleria poiformis",3415439408,"","ZAF",681,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
145.016667,-17.983333,"Scleria poiformis",2829870285,"Lower Tully, Googarra Road.","AUS",2000,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.612004,-12.123242,"Scleria poiformis",2850122640,"BLY6/9A","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.516588,-12.974445,"Scleria poiformis",2850123999,"FINN7/16","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.76134,-14.26471,"Scleria poiformis",1633029214,"Fish River block. Site 12","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.388796,-12.501744,"Scleria poiformis",2850109753,"SALL16/3","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.038706,-12.691344,"Scleria poiformis",2850142426,"ARAF22/6","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.991798,-12.346743,"Scleria poiformis",2850177913,"EA14/14a","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.965916,-12.306328,"Scleria poiformis",1633001587,"Arafura survey. Ramingining area; Gulmirrin. Melaleuca leucadendra forest (30m tall, very fine leaves) with perennial swamp of `Scleria; black peaty soil (probably on clay with sand at surface); water c. 5cm deep.","AUS",20,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.565196,-12.578344,"Scleria poiformis",2850181806,"SAL19/10","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.746674,-13.177655,"Scleria poiformis",2850222695,"Top End","AUS",7,1993,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.212491,-12.452544,"Scleria poiformis",2850209556,"ADEL12/2","AUS",NA,1990,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
101.916667,6.133333,"Scleria poiformis",2513705828,"Thailand, Paa Wai, Su Ngi Paadee, Narathiwat.","THA",NA,1987,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
114.583333,-3.333333,"Scleria poiformis",2513703140,"Borneo, Kalimantan Selatan, eastern part of Banjarmasin","IDN",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
102.15,12.6,"Scleria poiformis",2513704363,"Thailand, Southeastern: Chanburi.","THA",NA,1958,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
133.6764,-12.6708,"Scleria poiformis",2826941295,"Upper Goomadeer River catchment","AUS",100,2001,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.462019,-14.069822,"Scleria poiformis",2826897276,"Groote Eylandt; Emerald River, approx.2km upstream of road crossing.","AUS",10,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
136.41901,-12.3296,"Scleria poiformis",2826870112,"Dhalingbuy area, tributary of Cato River","AUS",10,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.342775,-16.690136,"Scleria poiformis",2418885487,"5km N of Mount Molloy.","AUS",2000,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
100.711333,6.9305,"Scleria poiformis",2516803339,"Thailand, PEN73, Songkhla, Route 43 Hat Yai - Chana.","THA",NA,2002,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
