"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-65.67,-1.83,"Securidaca pendula",1456002605,"Rio Japurá, afluente do rio Solimões, ao lado do Rio Japurá, mata de beira de rio","BRA",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-67.53,6.57,"Securidaca pendula",2284236826,"Distrito Pedro Camejo, 5 km NW of Paso de Cinaruco chalana (in a straight line) along the banks of the Río Cinaruco.","VEN",NA,1977,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-64.94,7.56,"Securidaca pendula",1455941540,"Mun. Aripao, Valencia to SW of Majadas","VEN",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-65.66666,-1.83333,"Securidaca pendula",1260274973,"Municipio de Maraa, tio Japurá, afluente do rio Solimões, ao longo do rio Japurá, Mata de beira de rio, solo argilo-arenoso.","BRA",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.4,6.316667,"Securidaca pendula",1259129388,"Distrito Pedro Camejo; Río Juriepe, ca. 25 airline km NW of Mata de Guanábana, tributary of the Río Cinaruco. Gallery forest along the southern bank.","VEN",NA,1979,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-72.04216,4.17205,"Securidaca pendula",3750918309,"Vereda Alto Manacacías, finca Manacacías","COL",NA,2021,"HUMAN_OBSERVATION",""
-68.53,5.53,"Securidaca pendula",2284139838,"Parque Nacional Natural El Tuparro, La Línea Roja, just south of Río Tomo.","COL",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-66.41666,7.63333,"Securidaca pendula",1259077508,"Distrito San Fernando; Isla Arapuca in the Río Orinoco near the mouth of the Río Apure. Low, woody disturbed vegetation with occassional open spots.","VEN",NA,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-68.3,6.21666,"Securidaca pendula",1259169926,"Distrito Pedro Camejo; ox-box lake ca. 1 km SE of Yaruro, 97 airline km W of Puerto Páez.","VEN",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-67.08333,6.56666,"Securidaca pendula",1260274685,"Dpto. de Atures: Caño Samariapo, puente después de Puerto Venado, Via Comando de Infantería.","VEN",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
