"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
143.283,-12.7333,"Senegalia albizioides",1090295624,"QLD, Cape York, Claudie River","AUS",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;PRESUMED_NEGATED_LONGITUDE;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.583333,-12.3,"Senegalia albizioides",2827488871,"Batavia Downs, 8.3 km N of Schramm Creek on the Peninsula Development Road","AUS",1600,1989,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.783333,-17.25,"Senegalia albizioides",2827252609,"SFR 310, Goldsborough LA","AUS",NA,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.35,-12.666667,"Senegalia albizioides",3749139555,"National Park Reserve 8, Parish of Weymouth.","AUS",1000,1982,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.466667,-13.833333,"Senegalia albizioides",2827304894,"Rocky River","AUS",NA,1977,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.466667,-17.216667,"Senegalia albizioides",2827231908,"Tolga","AUS",NA,1997,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.25,-13.9,"Senegalia albizioides",2827362595,"Lankelly Creek Road","AUS",NA,1976,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.681111,-16.806111,"Senegalia albizioides",2827282764,"Smithfield CP, Smithfield, 4.9 km NE of Kuranda.","AUS",50,2009,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.343333,-12.287222,"Senegalia albizioides",3069424302,"Blue Tongue Scrub, Steve Irwin Wildlife Reserve.","AUS",50,2020,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.958333,-13.110833,"Senegalia albizioides",2827406415,"Wenlock River, Kaanju Nation, Central Cape York.","AUS",50,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.025278,-12.917222,"Senegalia albizioides",2825409455,"Cultivated at Tolga. Ex 5km S of Pascoe River.","AUS",100,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.261041,-14.423966,"Senegalia albizioides",2418982955,"Bathurst Range, 19km SSE of Bathurst Head, 55.8km NE of Lakefield Ranger Base, Catchment of Barrumundi Creek, Bathurst Range 1.100 000 Sheet 7769-045034 BE RF site #139, Kalpowar Pastoral Holding.","AUS",100,1994,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
125.390833,-16.011111,"Senegalia albizioides",2854004892,"7 km by road SE from Rick Jane's Bachsten Creek Camp on Mount Elizabeth track, Kimberley region","AUS",100,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
145.74775,-17.163861,"Senegalia albizioides",2829098649,"Road to Council Reservoir off Pannikin Street, Goldsborough.","AUS",100,2010,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.205833,-14.274444,"Senegalia albizioides",2418786856,"Bathurst Head, Princess Charlotte Bay, Kalpowar Station.","AUS",100,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
143.342786,-13.923489,"Senegalia albizioides",2418712717,"Timber Reserve 14, Massy.","AUS",2000,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
145.876107,-17.59013,"Senegalia albizioides",2418966119,"Gregory Falls.","AUS",2000,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
