"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-114.952108,35.654994,"Senna armata",1846485122,"Along highway 95 north of Searchlight.","USA",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.57717,33.55838,"Senna armata",2572936651,"Bradshaw Trail, 0.85 mi. SE of its junction with Summit Rd. in Salt Creek Canyon, at wash crossing, at edge of Chocolate Mountains Aerial Gunnery Range","USA",NA,2015,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.255183,34.816483,"Senna armata",1846519126,"Mojave Desert: Cady Mountains, 3 mi. (air) NE of Sleeping Beauty Mountain (Sleeping Beauty 7.5' Q.).","USA",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-115.104754,35.66001,"Senna armata",1846524738,"McCullough Mountains","USA",553,1970,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.71868,34.82798,"Senna armata",1846559163,"Just S of I-40, N of Newberry Mountains. 6.8 miles SE of the Barstow Daggett County Airport and 2.6 miles W of Newberry Springs.","USA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.036583,34.123436,"Senna armata",1846539788,"Mojave Desert; Twentynine Palms, c. 3 miles south of Hwy 62 on Utah Trail, at intersection with Alta Loma Dr. ((Queen Mountain 7.5 Q.)","USA",1000,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-114.936508,33.910807,"Senna armata",1846556393,"Little Maria Mts., northwest end; large canyon and wash 0.4 air mile southwest of peak 2479 on 1952 USGS Midland 15' topographic quadrangle.","USA",969,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-116.657,34.7742,"Senna armata",1846558652,"Mojave Desert; along Tryo Road (BLM #NR 8435), 3.3 mi north of Newberry Springs (Route 66), west of Kane Wash and east of Newberry Mountain","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-114.958056,35.670278,"Senna armata",1846508122,"15 miles N of Searchlight.","USA",NA,1953,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-114.709722,35.17,"Senna armata",1846508127,"Rte 77, ca. 10 mils W of Colorado River","USA",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
