"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
145.2247,-20.7139,"Senna obtusifolia",2829624598,"White Mountains National Park near Great Dividing Range Lookout.","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
53.07,16.65,"Senna obtusifolia",3776363385,"Yemen, gov. Al-Mahra, Hawf Mts, somewhat E of Kon.","YEM",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_COLLECTION_MISMATCH"
-92.006944,31.581889,"Senna obtusifolia",1846507512,"Along paved road just NE of U.S. 84 at Catahoula Parish line.","USA",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
47.599966,15.905618,"Senna obtusifolia",1055384457,"","YEM",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-51.85,-16.53,"Senna obtusifolia",1930845927,"Drainage of the Upper Rio Araguaia.","BRA",5000,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-39.0490868,-14.7929068,"Senna obtusifolia",1930760302,"Rodivia Ilhéus - Uruçuca","BRA",NA,1965,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-74.58,-8.33,"Senna obtusifolia",1927921662,"Yarinacocha","PER",NA,1981,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-44.2547,-15.1403,"Senna obtusifolia",1928372245,"Januária, distrito de Fabiao, 2 km na estrada partindo do abrigo do Malhador","BRA",NA,1997,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-77.100733,18.167667,"Senna obtusifolia",1929037700,"Charlton, near Ewarton","JAM",NA,1968,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-46.430278,-15.6171,"Senna obtusifolia",1929999322,"Fazenda Furquilho Novo.","BRA",NA,1964,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-44.99,-12.15,"Senna obtusifolia",1928761187,"Valley of the Rio das Ondas. ca. 10 Km W. of Barreiras","BRA",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-36.42,-9.25,"Senna obtusifolia",1930399819,"Reserva Biológica de Pedra Talhada","BRA",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-47.8835631,-12.6192514,"Senna obtusifolia",1929465516,"At airport of city of Paranã","BRA",NA,1962,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-74.15,10.88,"Senna obtusifolia",1929439528,"Along road from San Pablo to San Pedro de la Sierra.","COL",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-66.405982,18.074461,"Senna obtusifolia",1928604876,"Rte 545 ca. 1-2 km S of rte 150.","PRI",NA,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-47.5146431,-14.6846984,"Senna obtusifolia",1931018760,"3 km NE of São João da Aliança. Serra Geral do Paraná.","BRA",5000,1973,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-88.17,20.6,"Senna obtusifolia",1928451829,"The village Xocén (16 QCT 7978)","MEX",NA,1989,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-58.25519,6.50221,"Senna obtusifolia",1928540637,"Atkinson Field","GUY",1821.57,1961,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-79.92,35.48,"Senna obtusifolia",1929320034,"Uwharrie National Forest, 2km W of Flint Hill, on Flint Hill Rd (NC 1306)","USA",NA,1994,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-61.0328,-14.75994,"Senna obtusifolia",1931298254,"Reserva ecologica El Refugio, al final de la pista sector N Barbecho.","BOL",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-95.9661,15.8325,"Senna obtusifolia",1930744663,"Distrito Tehuantepec, Barra de la Cruz, 2 km al S, sobre el río Chacalapa","MEX",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-66.264281,18.45981,"Senna obtusifolia",1929794647,"Near Dorado, at sea level.","PRI",NA,1982,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-53.2,3.62,"Senna obtusifolia",1930511375,"Saül","GUF",NA,1988,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-84.9,9.95,"Senna obtusifolia",1930714254,"Isla San Lucas, Golfo de Nicoya","CRI",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-50.1333,-15.9333,"Senna obtusifolia",1928976704,"Serra Dourada, ca. 17 km (straight line) S of Goiás Velho, ca. 6 km NE of Mossâmedes, in and along margin of forest on lower eastern slope of serra","BRA",5000,1973,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-66.62,-14.5,"Senna obtusifolia",1928050284,"Prov. Ballivián y Yacuma. Estación Biológica del Beni, El Porvenir.","BOL",NA,1995,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-55.1690758,-21.6181973,"Senna obtusifolia",1928226418,"Rod. BR-267, 10 km O de Maracajú","BRA",NA,1998,"PRESERVED_SPECIMEN","COORDINATE_REPROJECTED;COLLECTION_MATCH_FUZZY"
-95.9708,15.8436,"Senna obtusifolia",1930353116,"Distr. Tehuantepec, Barra de la Cruz, 1 km al N, sobre el río Chacalapa","MEX",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-67.05,1.93,"Senna obtusifolia",1929971328,"San Carlos de Río Negro, ca. 20 km. S of confluence of Río Negro and Brazo Casiquiare.","VEN",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-61.38333,-24.78333,"Senna obtusifolia",1259480634,"El Colorado, alrededores de Laguna Ayarde.","ARG",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-72.55055,-13.00472,"Senna obtusifolia",1260083089,"Dist. Maranura, Santa Maria. Bosque Seco.","PER",NA,2004,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-80.25,-2.21666,"Senna obtusifolia",1258337964,"10 km N of Cerecita on road to Julio Moreno. Deciduous forest.","ECU",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
36.75444,-7.83111,"Senna obtusifolia",4060962011,"T6. Udzungwa Mountains National Park, Mang'ula Village. Gentle middle slope beside river bank.","TZA",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-75.183333,8.033333,"Senna obtusifolia",4061142069,"road to Nechi; ca 14 km from Caucasia-Planeta Rica road; Hacienda Candelaria; remaining patches of secondary forest and pasture ca 0.5 km N of house.","COL",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-64.5,-23.71666,"Senna obtusifolia",1259549188,"Ruta Prov. 31, 2 km del desvío de la Ruta Prov. 1 camino a Vinalito","ARG",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-86.1,12.2,"Senna obtusifolia",4062081879,"Tipitapa, just E of village; muddy pond, cotton fields and swampy meadows [Seymour series]","NIC",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-86.13333,13.91666,"Senna obtusifolia",4061377285,"Jalapa; hill and roadside [Seymour series]","NIC",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-75.08333,8.06666,"Senna obtusifolia",4061362106,"Hacienda La Candelaria-Universidad de Antioquia.","COL",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
116.33,31.4,"Senna obtusifolia",4044005313,"","CHN",NA,2018,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-17.017222,14.578056,"Senna obtusifolia",2464998349,"","SEN",NA,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;CONTINENT_DERIVED_FROM_COORDINATES"
130.472222,-13.630833,"Senna obtusifolia",1633028060,"Elizabeth Downs station. Pandanus spiralis open forest. Clay survey quadrat 10.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.27503,-14.4591,"Senna obtusifolia",2445736970,"","AUS",25,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.06192,-12.58404,"Senna obtusifolia",2445774586,"","AUS",25,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.38799,-16.45132,"Senna obtusifolia",2850121416,"","AUS",25,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.98189,-13.11096,"Senna obtusifolia",2445760739,"","AUS",25,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.964838,-12.47394,"Senna obtusifolia",1633004372,"Arafura Swamp survey. Below Murwangi homestead. Pseudoraphis spinescens grassland, floodplain margin on black clay.","AUS",20,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.47615,-12.67702,"Senna obtusifolia",3458095004,"","AUS",25,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.7898,-12.71142,"Senna obtusifolia",3458095241,"","AUS",25,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.53924,-16.25025,"Senna obtusifolia",2850132158,"","AUS",25,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.37172,-15.00655,"Senna obtusifolia",2850141361,"","AUS",25,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.38044,-15.75285,"Senna obtusifolia",2850141971,"","AUS",25,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.27318,-12.97741,"Senna obtusifolia",2445709839,"","AUS",25,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.02286,-14.29731,"Senna obtusifolia",1805920963,"","AUS",20,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.83407,-13.81824,"Senna obtusifolia",2445734577,"","AUS",25,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.02415,-13.05721,"Senna obtusifolia",2445793311,"","AUS",25,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.84668,-12.44058,"Senna obtusifolia",2445782777,"","AUS",25,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.96457,-12.51123,"Senna obtusifolia",2445793182,"","AUS",25,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.73086,-12.58203,"Senna obtusifolia",2445754384,"","AUS",25,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.480071,-12.66658,"Senna obtusifolia",1633275131,"Kakadu National Park","AUS",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.2606,-12.50743,"Senna obtusifolia",3458093999,"","AUS",25,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.81088,-14.09748,"Senna obtusifolia",2850119258,"Somewhere in the NT","AUS",7,1988,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.57995,-16.39906,"Senna obtusifolia",2850140374,"","AUS",25,2017,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
