"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
146.021174,-34.223961,"Solanum elaeagnifolium",4054498797,"locality withheld","AU",2000,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-110.644957,31.798264,"Solanum elaeagnifolium",3359694324,"Las Cienegas National Conservation Area, Oak Tree Canyon wash, ca. 1.5 km NNW of the Empire Ranch HQ","US",NA,2021,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.7485,34.500667,"Solanum elaeagnifolium",1846521925,"Cottonwood basin east of Camp Verde, near junction of forest roads 708 and 500. On side of road in disturbed area.","US",NA,2010,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-112.0761,34.2382,"Solanum elaeagnifolium",1846476095,"Agua Fria National Monument, east of Badger Springs trailhead just east of Agua Fria River.","US",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.310701,35.8834,"Solanum elaeagnifolium",1846480816,"Grand Canyon National Park, at edge of Colorado River on right bank, just below Three Springs Canyon, 12S 291418 E, 3973482 N, NAD 83.","US",NA,2006,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-109.467783,32.897717,"Solanum elaeagnifolium",1846480852,"River sand dune of Gila River, north of Deadman Canyon.","US",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.783333,30.5,"Solanum elaeagnifolium",1846505003,"Ca. 14 miles southeast of Magdalena, off road to Cucurpe, 2 miles north of Cerro Cinta de Plata, adjacent to, and east of 'Palm Canyon'","MX",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.25568,32.355347,"Solanum elaeagnifolium",1846558094,"Avra Valley.","US",583,1976,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-111.8662,33.97118,"Solanum elaeagnifolium",1846489967,"Tonto National Forest, Seven Springs: Along wash at CCC campground.","US",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-113.424367,35.544665,"Solanum elaeagnifolium",1846513920,"Hualapai Nation/Reservation, Peach Springs Canyon, along Indian Route 6, 280227 E, 3936151 N, NAD 83/84.","US",NA,2009,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-109.56,32.13334,"Solanum elaeagnifolium",1846490143,"AS-186, mile-348 SE of Wilcox","US",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-110.310143,32.895762,"Solanum elaeagnifolium",1846494362,"Sanat Teresa Mountains Laurel Canyon. Near TR 68, where it meets Laurel Canyon Wash.","US",335,1998,"PRESERVED_SPECIMEN","COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
