"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
19.1636,-32.3982,"Sorocephalus lanatus",1838310604,NA,"ZAF",1,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.180459,-32.513332,"Sorocephalus lanatus",1993760017,NA,"ZAF",8,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.193554,-32.736195,"Sorocephalus lanatus",2901707723,NA,"ZAF",51,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.212228,-32.992977,"Sorocephalus lanatus",3039400300,NA,"ZAF",NA,2021,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.623,-33.3514,"Sorocephalus lanatus",1838058730,NA,"ZAF",5,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.22825,-33.025155,"Sorocephalus lanatus",3391517220,NA,"ZAF",12,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.455024,-33.25308,"Sorocephalus lanatus",3860197311,NA,"ZAF",6,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.154746,-32.512041,"Sorocephalus lanatus",3017977610,NA,"ZAF",5,2019,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.4021,-32.8966,"Sorocephalus lanatus",1838064284,NA,"ZAF",1,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
19.380511,-33.446858,"Sorocephalus lanatus",2331910917,NA,"ZAF",20,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.161041,-32.699795,"Sorocephalus lanatus",3017959956,NA,"ZAF",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.77167,-33.76611,"Sorocephalus lanatus",438729693,NA,"ZAF",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
19.672501,-33.319443,"Sorocephalus lanatus",1944406445,NA,"ZAF",10,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.43333,-33.03333,"Sorocephalus lanatus",439396356,NA,"ZAF",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
19.158568,-33.113666,"Sorocephalus lanatus",1944377153,NA,"ZAF",122,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.381846,-32.766291,"Sorocephalus lanatus",3947671753,NA,"ZAF",31,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
19.30536,-33.181579,"Sorocephalus lanatus",1703229774,NA,"ZAF",15,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
