"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-94.671377,29.708261,"Sporobolus cynosuroides",2807618614,"Trinity River delta, ca. 1/4 mi. N of mouth of small gut.","USA",NA,1958,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-74.111809,40.548994,"Sporobolus cynosuroides",3341232645,"Oakwood Beach, Staten Island","USA",715,2002,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-75.751861,38.224964,"Sporobolus cynosuroides",3881594094,"","USA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.284873,38.887454,"Sporobolus cynosuroides",3892667355,"","USA",9,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-81.40169,31.78175,"Sporobolus cynosuroides",3892700387,"","USA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-78.012778,33.885556,"Sporobolus cynosuroides",1986913495,"West side of Cape Fear River along US 74","USA",NA,1968,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-88.624878,30.379678,"Sporobolus cynosuroides",3892636308,"","USA",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-76.014458,39.237975,"Sporobolus cynosuroides",4022333546,"","USA",4,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.836175,36.389692,"Sporobolus cynosuroides",2873734555,"","USA",165,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-87.82573,30.416263,"Sporobolus cynosuroides",3892551321,"","USA",60,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.956017,38.686831,"Sporobolus cynosuroides",4029083374,"","USA",NA,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-88.680886,30.355817,"Sporobolus cynosuroides",3892391304,"","USA",5,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-80.440155,32.600403,"Sporobolus cynosuroides",3892629478,"","USA",419,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.459703,39.253887,"Sporobolus cynosuroides",3985936548,"","USA",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.564431,35.813218,"Sporobolus cynosuroides",3014101301,"","USA",9,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-89.699056,30.122978,"Sporobolus cynosuroides",3892370364,"","USA",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.078797,38.613803,"Sporobolus cynosuroides",2294405090,"","USA",77,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-81.41522,31.364055,"Sporobolus cynosuroides",3892515311,"","USA",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-76.298291,38.572108,"Sporobolus cynosuroides",3892361364,"","USA",31,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-75.38125,38.961898,"Sporobolus cynosuroides",3923400212,"","USA",24,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-92.510437,29.636583,"Sporobolus cynosuroides",2429243764,"","USA",NA,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
