"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
0.7,40.58,"Spyridia filamentosa",1587230938,"El Trabucador, Badia dels Alfacs","ESP",7071,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
2.71,39.79,"Spyridia filamentosa",1587233216,"Sóller","ESP",7071,1978,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-0.31,38.5,"Spyridia filamentosa",1587233230,"La Coveta Fumà","ESP",7071,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
150.7617,-35.0175,"Spyridia filamentosa",2829279711,"Just W of Green Island, Jervis Bay.","AUS",NA,1991,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
153.6192,-28.6356,"Spyridia filamentosa",2829586228,"Middle Reef, Byron Bay.","AUS",NA,1992,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
1.402985,51.392617,"Spyridia filamentosa",1057092082,"","GBR",NA,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-61.390661,10.407189,"Spyridia filamentosa",1056169727,"","TTO",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-70.666561,41.520071,"Spyridia filamentosa",2573563190,"Woods Hole, Little Harbor","USA",NA,1957,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-66.272392,17.927302,"Spyridia filamentosa",1928692031,"Aguirre. Isla Morrillos (Cayo Almendra), Jobos","PRI",NA,1962,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-66.698029,18.480212,"Spyridia filamentosa",1929962056,"in strong surf, near light house, Punta Morrillos","PRI",NA,1963,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-65.588774,18.386353,"Spyridia filamentosa",1927996919,"Cayo Icacos.","PRI",NA,1966,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-82.294513,22.682111,"Spyridia filamentosa",1930359259,"Lado oeste de espigon en el muelle de Batabano, Habana","CUB",NA,1960,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-159.317,22.1833,"Spyridia filamentosa",38757493,"Moloaa Bay","USA",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-157.8,21.4333,"Spyridia filamentosa",38755391,"Kaneohe Bay, Heeia State Park","USA",NA,1990,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-156.05,19.7167,"Spyridia filamentosa",38756541,"Keahole Point","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-156.901,20.916,"Spyridia filamentosa",38755704,"Kaiolohia Bay, between Halulu Gulch & Poaiwa, North-west shore","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-156.513,20.7921,"Spyridia filamentosa",1090348122,"Station 3: Maalaea Reef","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-157.249,21.0837,"Spyridia filamentosa",38758689,"Hale O Lono Harbor; Station 1","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-156.893,20.7367,"Spyridia filamentosa",38757689,"Hulopoe Beach Park, Basalt shoreline on east side of park","USA",NA,2003,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-157.836,21.2625,"Spyridia filamentosa",38758064,"Atlantis Sub, Waikiki: Site 3","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-158.121,21.3219,"Spyridia filamentosa",38755927,"Barber's Point Harbor; Drydock","USA",NA,1998,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
