"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
40.08412,49.29383,"Stipa zalesskii",3753865005,"Streltsivsky steppe","UKR",NA,2020,"HUMAN_OBSERVATION","PRESUMED_SWAPPED_COORDINATE;CONTINENT_DERIVED_FROM_COORDINATES"
49.50357,53.41805,"Stipa zalesskii",1897288935,"Могутова г.","RUS",NA,2010,"HUMAN_OBSERVATION","PRESUMED_SWAPPED_COORDINATE;CONTINENT_DERIVED_FROM_COORDINATES"
53.89779,51.31732,"Stipa zalesskii",1897287953,"Серноводский шихан","RUS",NA,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
38.1242,49.4094,"Stipa zalesskii",3018864476,"Степовий схил, окол. м. Сватове, Луганська обл.","UKR",NA,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
39.786777,49.394658,"Stipa zalesskii",3018866449,"Околиці с. Зориківка Мілов-ського р-ну, схили і балки на корінному березі р. Комишної","UKR",NA,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
39.713296,49.574591,"Stipa zalesskii",3018866456,"Околиці с. Лимарівка, Просян-ської сільської ради, Марків-ського р-ну. Система балок у верхів’ї Деркулу.","UKR",NA,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
38.989183,48.374233,"Stipa zalesskii",3018870915,"На схід від с. Мала Юріївка","UKR",NA,2013,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
44.29792,53.44825,"Stipa zalesskii",2852821434,"2.3 km W from Podgornoe village; Podgornovskaya Balka Site","RUS",5,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
73.05856,51.05758,"Stipa zalesskii",2382579110,"Kazakhstan, prov. Akmola, distr. Ereymentau. Karatal, above the ride side of the road to Leninskoe ca. 3 km NNW of the village; 591 m a. s. l. Meadow steppe with Helictotrichon desertorum. Coordinates: 510327.3 N & 730330.8 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
72.65906,48.50806,"Stipa zalesskii",2382577489,"Kazakhstan, prov. Karaganda, distr. Shet. Uspenskii, 18 km S of the village; 628 m a. s. l. Dry steppe. Coordinates: 483029 N & 723932.6 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
73.13728,51.57497,"Stipa zalesskii",2382577568,"Kazakhstan, prov. Akmola, distr. Ereymentau. Ereymentau, hilly landscape ca. 6 km SSE of the village; 466 m a. s. l. Stipa zalesskii steppe. Coordinates: 513429.9 N & 730814.2 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
72.39336,53.51758,"Stipa zalesskii",2382580273,"Kazakhstan, prov. North Kazakhstan, distr. Ualikhanov. Kishkenekol, steppe 13.5 km S of the village; 136 m a. s. l. Stipa zalesskii steppe. Coordinates: 533103.3 N & 722336.1 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
73.02792,49.01233,"Stipa zalesskii",2382580034,"Kazakhstan, prov. Karaganda, distr. Shet. Daryinskii, 10 km SE of the village; 849 m a. s. l. Stipa zalesskii steppe. Coordinates: 490044.4 N & 730140.5 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
70.53222,53.96397,"Stipa zalesskii",2382579834,"Kazakhstan, prov. North Kazakhstan, distr. Ualikhanov. Zharkaiyn, near a dam of an artificial lake ca. 3 km NW of the village; 123 m a. s. l. Stipa steppe. Coordinates: 535750.3 N & 703156 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
72.51889,50.55503,"Stipa zalesskii",2382577037,"Kazakhstan, prov. Karaganda, distr. Osakarov. Osakarovka, ca. 3 km WSW of the village; 578 m a. s. l. Meadow steppe with Pulsatilla flavescens. Coordinates: 503318.1 N & 723108 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
72.87072,47.50592,"Stipa zalesskii",2382579385,"Kazakhstan, prov. Karaganda, distr. Shet. Kiik, ca. 3 km W of the village; 728 m a. s. l. Caragana open scrub. Coordinates: 473021.3 N & 725214.6 E","KAZ",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
78.56,53.38,"Stipa zalesskii",2562056456,"","RUS",1000,1956,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
83.867,55.133,"Stipa zalesskii",2562056931,"","RUS",1000,1997,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
78.333,54.833,"Stipa zalesskii",2562056519,"","RUS",1000,1985,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
77.8,53.433,"Stipa zalesskii",2562057238,"","RUS",1000,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
78.083,53.75,"Stipa zalesskii",2562056803,"","RUS",1000,1984,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
86.77,54.4,"Stipa zalesskii",2562056421,"","RUS",1000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
90.76,54.32,"Stipa zalesskii",2562056955,"","RUS",1000,1969,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
91.2,53.3,"Stipa zalesskii",2562057312,"","RUS",1000,1967,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
91.52,53.16,"Stipa zalesskii",2562056366,"","RUS",1000,1963,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
88.033,49.517,"Stipa zalesskii",2562056531,"","RUS",1000,2002,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
81.04,53.82,"Stipa zalesskii",2562057397,"","RUS",1000,2008,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
82.717,51.533,"Stipa zalesskii",2562056769,"","RUS",1000,2004,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
85.89,50.83,"Stipa zalesskii",2562057170,"","RUS",1000,1951,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
88.36,50.1,"Stipa zalesskii",2562057536,"","RUS",1000,1953,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
87.91,60.63,"Stipa zalesskii",2562056814,"","RUS",1000,1952,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
81.59,51.14,"Stipa zalesskii",2562057442,"","RUS",1000,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
85.06,50.43,"Stipa zalesskii",2562057406,"","RUS",1000,1954,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
81.733,51.15,"Stipa zalesskii",2562057316,"","RUS",1000,2000,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
93.31,51.45,"Stipa zalesskii",2562056777,"","RUS",1000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
95.35,51.54,"Stipa zalesskii",2562057412,"","RUS",1000,1979,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
94.8,51.33,"Stipa zalesskii",2562057464,"","RUS",1000,1975,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
84.33,54.91,"Stipa zalesskii",2562069894,"","RUS",1000,1991,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
85.74,54.46,"Stipa zalesskii",2562067081,"","RUS",1000,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
90.967,53.983,"Stipa zalesskii",2562066759,"","RUS",1000,1970,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
87.95,50.117,"Stipa zalesskii",2562067214,"","RUS",1000,1990,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
87.94,50.23,"Stipa zalesskii",2562066679,"","RUS",1000,1981,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
82,50.917,"Stipa zalesskii",2562069235,"","RUS",1000,1989,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
82.25,51.333,"Stipa zalesskii",2562066803,"","RUS",1000,1989,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
81.17,51.22,"Stipa zalesskii",2562069703,"","RUS",1000,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
73.48,55.54,"Stipa zalesskii",2562060567,"","RUS",1000,2013,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES"
44.75,40.41667,"Stipa zalesskii",1144780379,"Kotayk - Caucasus, distr. Razdan, clivi montis Ketandag in vicinitare pagi Charencavan","ARM",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
34.23083,44.91528,"Stipa zalesskii",3467849708,"Ukraine, Krim, ca. 9 km SE Simferopol' und 600 m S Denysivka, 420 m, 44°54ˊ55˝N 34°13ˊ51˝E","UKR",10,2013,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
