"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
28.45,-15.41666,"Striga gesnerioides",4060902176,"Lusaka Province, Lusaka E 16 km, Glen Craig farm.","ZM",NA,1993,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
40.616667,-2.516667,"Striga gesnerioides",1257970872,"Nairobi Ranch. Camp - Beach.","KE",NA,2006,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
73.49305,17.431917,"Striga gesnerioides",2598665880,"","IN",NA,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
73.334,16.702587,"Striga gesnerioides",2598671779,"","IN",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
27.611815,-25.922688,"Striga gesnerioides",3858254643,"","ZA",193,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
45.9275,13.46056,"Striga gesnerioides",1062873525,"Yemen: gov. Abyan, Jabal Urays. from lower Wadi Asurie crossing the eastern ridge into the neighbouring Wadi Abad. Alt.: 200-550 m. 16.3.2002, Leg.: N. Kilian, P. Hein, C. Oberprieler, S. Kipka, H. Kürschner, A. Mukram, A. N. Al-Gifri & M. H. Omar YP 1732.","YE",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
52.92417,16.6,"Striga gesnerioides",911797355,"Yemen: Gov. Al-Mahra. bottom of Wadi Chard, immediately W of Ka'ab. Alt.: ca. 50 m. 26.8.2002, Leg.: N. Kilian & G. Hohlstein YP 3082b.","YE",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
53.45,12.63333,"Striga gesnerioides",1062873544,"Yemen: Socotra. above village Qaysoh, N flank of Ma'ala massif. On Cissus and Acanthaceae (YP 2349). Alt.: 150-300 m. 30.3.2002, Leg.: N. Kilian, P. Hein, S. Kipka & M. Thiv YP 2351.","YE",NA,2002,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
73.682275,18.246517,"Striga gesnerioides",1932361932,"","IN",1032,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
28.86662,-16.078476,"Striga gesnerioides",1586086045,"","ZW",380,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
21.926252,-33.344847,"Striga gesnerioides",3997871687,"","ZA",17,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
27.490722,-23.702396,"Striga gesnerioides",2597720859,"","ZA",24,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-6.317519,32.373289,"Striga gesnerioides",3952134167,"","MA",71,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
30.813855,-24.407384,"Striga gesnerioides",3109304654,"","ZA",4,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
16.356781,-24.150324,"Striga gesnerioides",4006556980,"","NAM",31,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
23.378362,-19.528007,"Striga gesnerioides",3068016934,"","BW",100,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
16.335603,-24.479462,"Striga gesnerioides",3773678160,"","NAM",1500,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
