"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
142.83,-30.05,"Swainsona swainsonioides",2829264504,"Tero Creek Station, NW of White Cliffs.","AUS",5000,1968,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.88,-29.93,"Swainsona swainsonioides",2828267454,"2.9 km NE of the Billabong bridge over the Barwon R at Brewarrina.","AUS",NA,1986,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
146.0697,-29.5739,"Swainsona swainsonioides",2828385208,"24.6 km along road to Lednapper Crossing from Mitchell Highway.","AUS",50,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
147.541861,-30.430229,"Swainsona swainsonioides",1070364306,"locality withheld","AUS",10,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
146.220549,-35.631695,"Swainsona swainsonioides",1073733038,"locality withheld","AUS",100,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.4322,-36.7144,"Swainsona swainsonioides",1646009300,"","AUS",1.5,1998,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
144.244172,-31.086081,"Swainsona swainsonioides",1073675500,"locality withheld","AUS",100,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.4583,-36.6461,"Swainsona swainsonioides",1646008878,"","AUS",1.5,1998,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.7679,-35.9651,"Swainsona swainsonioides",3130310948,"","AUS",400,1980,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
142.3,-36.35,"Swainsona swainsonioides",2435365460,"Barrett Reserve, 26 km (direct) E.N.E. of Dimboola. In the N.W. corner. 7325 Warracknabeal XE 169711.","AUS",1000,1983,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
140.866389,-32.102222,"Swainsona swainsonioides",2438882737,"Approx[imately] 12 km WSW of Cockburn along Barrier H[igh]w[a]y at Dismal Creek Crossing.","AUS",50,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
143.8528,-36.3214,"Swainsona swainsonioides",2439148365,"Loddon Weir Road, S of Fernihurst and Borung Highway.","AUS",1000,1992,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
149.8531,-31.0944,"Swainsona swainsonioides",2434628563,"Travelling stock route, S of Coogal Mountain, W of Mullalley.","AUS",1000,2003,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
151.2067,-26.9281,"Swainsona swainsonioides",2439304937,"1.2 km along Lyndley Lane, N of Jimbour.","AUS",1000,1997,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
142.8947,-36.023,"Swainsona swainsonioides",1644784585,"","AUS",1.5,2002,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
143.5582,-35.791,"Swainsona swainsonioides",3894541693,"","AUS",30,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
144.7922,-36.4691,"Swainsona swainsonioides",3129537009,"","AUS",100,2001,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
145.869053,-33.18335,"Swainsona swainsonioides",1071418232,"locality withheld","AUS",10,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
146.090963,-35.362352,"Swainsona swainsonioides",1072959520,"locality withheld","AUS",100,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
