"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-58.6,6.5,"Syzygium cumini",1456132581,"W bank Essequibo River, 0-1 km N of Wolga settlement","GUY",NA,1993,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
-48.619722,-26.250278,"Syzygium cumini",3069579015,"BR 280 - Próximo ao centro histório","BRA",NA,2008,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-69.88,9.12,"Syzygium cumini",1927768759,"Colonia Agricola","VEN",NA,1985,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-60.092551,-3.071869,"Syzygium cumini",1930338497,"River side of Rio Negro, near Ponta Negra.","BRA",3450.87,1987,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-87.006111,14.010278,"Syzygium cumini",1260219805,"EAP, El Zamorano.","HND",NA,1980,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-88.31305,17.87833,"Syzygium cumini",1260222148,"Northern Highway, near Maskall","BLZ",NA,1980,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
48.296944,-20.009167,"Syzygium cumini",1257643227,"District Mahanoro, Commune Ambinanindrano, Fokontany Ambodihara, Anosivolo","MDG",NA,2010,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
47.086944,-24.504722,"Syzygium cumini",1258207247,"Fort Dauphin, Bevoay, Fenoambany, Androangabe. Forêt de la chaîne de Vohimena, forêt d'Androangabe. Récolté avec Dauphin & Mamy.","MDG",NA,2016,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
-87.122417,12.655278,"Syzygium cumini",2268833077,"Sobre la carretera Chinandega-Somotillo, a 2 km del empalme hacia El Viejo, Reparto Estela","NIC",NA,2015,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;DIFFERENT_OWNER_INSTITUTION"
109.55,22.27,"Syzygium cumini",4044816724,"","CHN",NA,1956,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
