"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
33.31666,-8.83333,"Tabernaemontana stapfiana",4060866760,"Mshewe. Riverine forest.","TZA",NA,1990,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
37.533167,0.239623,"Tabernaemontana stapfiana",3959043557,"","KEN",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
29.55,-3.3,"Tabernaemontana stapfiana",1261125401,"Forêt de Bugarama. Forêt dense.","BDI",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
35.505278,-4.135833,"Tabernaemontana stapfiana",2268966880,"Bashnet Division, Madunga Ward, Madounga Village, Endalah Subvillage, Nou Forest Reserve, E side of Madunga Village at Tlaano.","TZA",NA,2017,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
37.92972,-4.29027,"Tabernaemontana stapfiana",1258776828,"W. side of Reserve, below Shengena Peak. [GPS Arc 60, Altimeter].","TZA",NA,1999,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
33.495522,-9.702763,"Tabernaemontana stapfiana",2873969549,"","MWI",424,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
35.3,-0.45,"Tabernaemontana stapfiana",912288998,"5.3miles (Air line) South of Kericho (Town centre), by the main Tarmac road, 8.0mile (by road) from junction with Kenyatta road","KEN",NA,1967,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
38.33,-3.43,"Tabernaemontana stapfiana",912288999,"below Vebri's house","KEN",NA,1953,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
34.87,0.23,"Tabernaemontana stapfiana",912289011,"","KEN",NA,1967,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.7,-0.57,"Tabernaemontana stapfiana",912289007,"Northern slopes","KEN",NA,2000,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
31.553333,-1.05,"Tabernaemontana stapfiana",2517658834,"Minziro village, Nyanja Etagera forest, near Nyakashenye sub-village and Nyakashenye primary forest.","TZA",NA,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
38.31374,-4.784936,"Tabernaemontana stapfiana",3460808009,"Bush back valley","TZA",NA,1987,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
35.858739,-3.351751,"Tabernaemontana stapfiana",3460809075,"Mto wa mbu","TZA",NA,1986,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
37.642984,-3.747728,"Tabernaemontana stapfiana",3460805323,"Kilimanjaro Forest Reserve","TZA",NA,1951,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
28.616667,-2.2,"Tabernaemontana stapfiana",1839945442,"I.N.E.A.C. Mulungu, Forêt de la Tshinga-nda. Contreforts du Mt. Kahusi, Km 57 nouvel axe routier Bukavu-Stanleyville Territoire de Kalehe, Sud-Kivu, Nord","COD",NA,1959,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
28.75,-2.316667,"Tabernaemontana stapfiana",1839945503,"I.N.E.A.C. Mulungu, Mt.Bukulumiza Inéac-Mulungu","COD",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.95,-4.33527,"Tabernaemontana stapfiana",4061700549,"Chome Forest Reserve. Along path from Kanza to Bwambo Village. Between two peaks of Suvavi Mountain in Heipengele.","TZA",NA,2001,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
36.694823,-3.364873,"Tabernaemontana stapfiana",3953889801,"","TZA",9,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
28.666667,-1.6,"Tabernaemontana stapfiana",1839945511,"I.N.E.A.C. Mulungu, Km 2 route, Bitso-Gungu. Territoire de Masisi","COD",NA,1958,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.316667,-0.383333,"Tabernaemontana stapfiana",2517850890,"Plants of East Africa. Kenya: Central Prov., Embu Dist., Mount Kenya Forest, 0.4 mi., below Castle Forest Station Rest House. Map: Embu North.","KEN",NA,1966,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
37.51,-3.22,"Tabernaemontana stapfiana",1830873553,"Mt. Kilimanjaro","TZA",NA,2012,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
34.044899,-13.317726,"Tabernaemontana stapfiana",1288089247,"Ntchisi Forest Reserve","MWI",NA,2011,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
39.316667,-8.833333,"Tabernaemontana stapfiana",2516131434,"Tanzania. Mbeya: Mbeya District. Mshewe. Riverine forest.","TZA",NA,1990,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
29.183833,-2.459389,"Tabernaemontana stapfiana",2517658835,"commune de Kirambo. Forêt de Banda. UTM: 9727963 N; 0742843 O.","RWA",NA,1999,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
36.8,-0.383333,"Tabernaemontana stapfiana",2515845680,"Kenya. Rift Valley/Central Province (K3/4): Aberdare National Park, Ruhuruini Park Gate.","KEN",NA,1979,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
28.816667,-1.4,"Tabernaemontana stapfiana",2516120014,"","COD",NA,1959,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
37.13,-0.48,"Tabernaemontana stapfiana",912288982,"","KEN",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
35.94891,-8.4153,"Tabernaemontana stapfiana",2269026549,"Udzungwa Mountains. Uzungwa Scarp Nature Reserve. Muse plot 4 - JKT juu.","TZA",NA,2018,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
38.35,-3.37,"Tabernaemontana stapfiana",912289001,"South end of Ngangao Mountain","KEN",NA,1966,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.06,-15.37,"Tabernaemontana stapfiana",912493473,"Mt Namuli. Kalene forest","MOZ",NA,2007,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.52,-0.42,"Tabernaemontana stapfiana",912289009,"North end of Embu","KEN",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
35.37,-0.35,"Tabernaemontana stapfiana",912289073,"1/2 mile East","KEN",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
36.67,-1.25,"Tabernaemontana stapfiana",912289010,"20 miles North of Fort Hall","KEN",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.47,-0.43,"Tabernaemontana stapfiana",912288987,"Near Kigari, North of Embu","KEN",NA,1964,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.87,-2.63,"Tabernaemontana stapfiana",912289028,"above Kibwezi","KEN",NA,1975,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
36.39,-16.28,"Tabernaemontana stapfiana",912494296,"Mt Mabu. Mabu forest","MOZ",NA,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
37.45,-0.17,"Tabernaemontana stapfiana",912289016,"","KEN",NA,1972,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
29.12,-2.29,"Tabernaemontana stapfiana",1835597716,"Astrida","RWA",NA,1960,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE;MULTIMEDIA_URI_INVALID"
28.47,-1.33,"Tabernaemontana stapfiana",1835599021,"Bitso","COD",NA,1958,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE;MULTIMEDIA_URI_INVALID"
28.27,-1.53,"Tabernaemontana stapfiana",1835599320,"Irangi","COD",NA,1959,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE;MULTIMEDIA_URI_INVALID"
