"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
144.525833,-15.650833,"Tephrosia Laura",3749140515,"E of Laura on Peninsula Developmental Road.","AUS",50,2007,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.466667,-15.616667,"Tephrosia Laura",2827548924,"9 km N of Kennedy Creek on the Peninsula Development Road ca 8.5 km S of Laura","AUS",1600,1983,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.581389,-15.861111,"Tephrosia Laura",3749135342,"Botany Site B8, Great Dividing Range, headwaters of the North Palmer River.","AUS",50,2017,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.858639,-15.139556,"Tephrosia Laura",2418833757,"N of Melsonby Homestead.","AUS",100,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
129.592881,-15.273586,"Tephrosia Laura",4016955257,"Victoria River area.","AUS",2000,1989,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
128.276227,-15.706921,"Tephrosia Laura",4017034846,"Wyndham the grotto","AUS",2000,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.844917,-15.632139,"Tephrosia Laura",2418739865,"Kings Plains Station, just E of the Quinkan Reserve 2 (East Quinkan) boundary; WSW of Cooktown.","AUS",100,2017,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
138.247056,-17.794782,"Tephrosia Laura",2418507581,"C. 60km WNW of Doomadgee, Walford Ck mining lease.","AUS",100,2015,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.859441,-15.290142,"Tephrosia Laura",2418432445,"0.5k W of Normanby River Crossing Rd from Cooktown to Battle Camp.","AUS",2000,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.421111,-15.816111,"Tephrosia Laura",2418522000,"Quinkan Reserve 1 (West Quinkan), S of Laura; Lot/Plan: 1/CP825797.","AUS",100,2017,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
144.221357,-15.800278,"Tephrosia Laura",2418549018,"Jowalbinna, heights above Brady Creek; c. 15km SW of Red Bluff and SSW of Laura; Lot/Plan: 4589/PH1079.","AUS",100,2017,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
