"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
120.07106,-21.40789,"Tephrosia densa",2854291192,"Site: NW11, West side of road, 4.4 km S of House Creek crossing on Marble Bar – Nullagine Road, 20.5 km SSW of Mt Edgar, 43.2 km SE of Marble Bar, Limestone Station, Pilbara IBRA","AUS",100,2004,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.684687,-23.131995,"Tephrosia densa",2854424586,"23 km NW of Newman townsite,","AUS",2000,1999,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.538972,-21.246333,"Tephrosia densa",2853922202,"5.2 km ESE of Nullagine River Crossing on Ripon Hills Road; S side of road; PBS site NE02","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.827003,-22.877569,"Tephrosia densa",2853954387,"101 km WSW of Tom Price","AUS",100,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.847833,-22.6803,"Tephrosia densa",2853668270,"Ca 10-12 km N along Tom Price North Road from junction with Paraburdoo-Tom Price Road then 5.8 km roughly E along powerline service track to site. Location next to Pilbara Biological Survey site TCMBE 12","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.266667,-22.2,"Tephrosia densa",2853960175,"8 km NW of Wittenoom","AUS",NA,1984,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
116.368611,-21.858889,"Tephrosia densa",2853816591,"Next to the Deepdale to Millsream road, approximately 3.6 km west-north-west of Old Yalleen (Yathala) Well","AUS",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.834167,-23.066111,"Tephrosia densa",2853980385,"20 km NE Paraburdoo on the Paraburdoo-Tom Price Road","AUS",3000,1976,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.626944,-23.265,"Tephrosia densa",2853712155,"Ca 15 km NW of Newman","AUS",100,2009,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.22442,-21.97942,"Tephrosia densa",2853689965,"Site: NW01, North side of track, 1.5 km past Five Mile Creek crossing on track from Skull Springs Road to Ant Hill Peak, 2.2 km SW of Quartz Hill, 15.4 km SE of Nullagine, Bonney Downs Station, Pilbara IBRA","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.450576,-21.282034,"Tephrosia densa",2853763540,"Meentheena Station Conservation Reserve, 2 km WNW of Meentheena Homestead, 7.9 km ESE of King Rock Hole, 29.7 km E of Mt Edgar, 22.8 km N of Baroona Hill (Survey Site 11). Nullagine 1:250 000 map sheet","AUS",100,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.080833,-22.783056,"Tephrosia densa",2853962104,"Uaroo Station 21.8 km N of the Towera Station turnoff on the North West Coastal Highway, w side, 24 km SW of Globe Hill, 22.7 km SSW of Cheetara Rock, 16.2 km ENE of Old Barradale","AUS",100,2002,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.788056,-22.698333,"Tephrosia densa",2854027796,"Approx. 200 m W of old Paraburdoo Road approx. 4 km from Airport Road, T-junction, Tom Price","AUS",3000,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.475278,-21.89,"Tephrosia densa",2853686470,"Coolawanyah Station near Bullpad Bore, about 150 km N of Tom Price,","AUS",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.833333,-22,"Tephrosia densa",2853848075,"44.3 km N of Wittenoom Gorge to Roy Hill road, towards Port Hedland","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.79,-23.079444,"Tephrosia densa",2853915833,"Barlee Range Nature Reserve, 7.5 km S of Wongida Well, 17 km SSW of Mount Florry, 19 km N of Joy Helen Mine","AUS",NA,1995,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.61164,-22.66614,"Tephrosia densa",2853923204,"Site: TCMBW06, West side of road, 100 m off road, 5.1 km S of turnoff to Tom Price on Munjina - Nanutarra Road, 3.9 km SSW of Mt Lionel, 17 km WNW of Tom Price, Pilbara IBRA","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.367186,-22.413677,"Tephrosia densa",2853640634,"Site 24, Nammuldi/Silvergrass lease area, near Mount Brockman, WNW of Tom Price,","AUS",100,1998,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.933333,-21.583333,"Tephrosia densa",2853903838,"5 km W of Woodstock Homestead","AUS",NA,1988,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.37103,-22.82669,"Tephrosia densa",2854266541,"Site: TCMBW01, South side of track, 5.6 km W of turnoff to Rocklea Station Hms on Munjina - Nanutarra Road, 14.7 km SSW of Mt Turner, 43.8 km WSW of Tom Price, Rocklea Station, Pilbara IBRA","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
115.171722,-23.528611,"Tephrosia densa",2854338320,"22 km N of Lyndon Station on Towera Road","AUS",100,2011,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.133889,-22.65,"Tephrosia densa",2854407673,"Marandoo Ridge (first ridge S of Mount Bruce), Hamersley Range","AUS",3000,1975,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.2,-20.666667,"Tephrosia densa",2854053347,"4.2 kp Quarry","AUS",NA,1993,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
120.079167,-22.000278,"Tephrosia densa",2854100709,"14.6 Km S of Nullagine on a tributary of Cajuput Creek","AUS",100,2007,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
117.755,-23.343056,"Tephrosia densa",2854178361,"South 18 East - Paraburdoo","AUS",3000,1978,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.701459,-23.18211,"Tephrosia densa",2854197299,"Kalgan Pool Road, 1 km from Kalgan Pool","AUS",100,2003,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
119.410372,-22.926062,"Tephrosia densa",2854321752,"Mindy Mindy Creek","AUS",3000,2008,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
118.91703,-21.02881,"Tephrosia densa",2854029926,"Site: MBW02, 2.5 km NE of Pilgangoora Mining Centre, 7 km N of Mt York, 86.5 km WNW of Marble Bar, Wallareenya Station, Pilbara IBRA","AUS",100,2006,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
