"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-9.4333,8.3814,"Tetrapleura chevalieri",3476773299,"","GIN",NA,1963,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
-9.5305,8.0298,"Tetrapleura chevalieri",3314410405,"","LBR",100,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-8.7542,5.4225,"Tetrapleura chevalieri",3398963570,"","LBR",1500,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-10.336667,7.336667,"Tetrapleura chevalieri",2516135991,"Kpelle Forest. East of Gainkpa.","LBR",NA,2010,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-10.866667,7.066667,"Tetrapleura chevalieri",2515974271,"Road from Gbama to Lofa. Near Gongoh. Along the road.","LBR",NA,1965,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-7.5,6.1,"Tetrapleura chevalieri",2517631189,"road Tai to Guiglo, past Gjidoubaye.","CIV",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-7.566667,6.133333,"Tetrapleura chevalieri",2517843141,"relevé E Zagné.","CIV",NA,2001,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-8.783333,7.316667,"Tetrapleura chevalieri",2515999794,"Kitoma.","LBR",NA,1959,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-8.05,5.5,"Tetrapleura chevalieri",2517841113,"Eastern Province, Putu District. New road from CHIEHN (Zwedru village) to Cape Palmas, near Kanweake, a small village situated c. 70 km S of Chiehn.","LBR",NA,1962,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-7.166667,7.4,"Tetrapleura chevalieri",4053693461,"Forêt classée du Haut-Sassandra","CIV",NA,2015,"HUMAN_OBSERVATION","TYPE_STATUS_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
-5.275552,6.505369,"Tetrapleura chevalieri",4053693470,"Kokumbo","CIV",NA,2010,"HUMAN_OBSERVATION","TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84"
-4.204244,6.648451,"Tetrapleura chevalieri",4053693475,"Forêt classée de Sanaimbo","CIV",NA,2003,"HUMAN_OBSERVATION","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84"
-4.15,6.683,"Tetrapleura chevalieri",4053693479,"Forêt classée d'Agbo 1","CIV",NA,2016,"HUMAN_OBSERVATION","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84"
-4.898719,6.362581,"Tetrapleura chevalieri",4053693484,"Forêt classée de l’Orumbo-Boka","CIV",NA,2018,"HUMAN_OBSERVATION","TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
-2.617,5.533,"Tetrapleura chevalieri",1890112886,"","GHA",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-8.866667,6.75,"Tetrapleura chevalieri",2515983723,"National forest, 18 miles N. of Tapeta.(Old sec. forest).","LBR",NA,1961,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-10.283667,6.270667,"Tetrapleura chevalieri",4020506092,"Goe Range.","LBR",NA,2022,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-8.383333,6.2,"Tetrapleura chevalieri",2517655291,"20 miles W. of Chien.","LBR",NA,1961,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-9.262194,7.669583,"Tetrapleura chevalieri",2516220123,"prefecture de Yomou, Mont Maaye, village Bokoumé, sud Ouest de Yomou.","GIN",NA,2014,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
