"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
25.4514,-10.8512,"Tricalysia griseiflora",3478150792,"","COD",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE"
18.283333,-7.966667,"Tricalysia griseiflora",2517767652,"route de Nsafu.","COD",NA,1954,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
25.821167,-12.185333,"Tricalysia griseiflora",2515733926,"North Western, Solwezi District; Acres National Forest/Jirundu Botanical Reserve; ca. 12,1 km NW of SOlwezi-Mwinilunga Road; (78 km W of Solwezi) 6.6 km NW of bridge over West River.","ZMB",NA,1995,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
14.333333,-11.016667,"Tricalysia griseiflora",2515733927,"conda-Gabela, km 12.","AGO",NA,1973,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
24.30722,-11.36638,"Tricalysia griseiflora",4061626820,"Ikelenge District; Zambezi Source National Heritage Site; 18.0 km S of Ikelenge then 4.8 km E on access road from Ikelenge-Mwinilunga Rd. Collections in riverine forest above source and in surrounding woodland of Uapaca, Aframomum; Pteridium.","ZMB",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
25.866667,-10.983333,"Tricalysia griseiflora",1839530949,"Kasompi Ouest","COD",NA,1956,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
25.05,-10.316667,"Tricalysia griseiflora",1839530698,"route Kolwezi - Nasondoye - Kasofu, 63 km NW Kolwezi","COD",NA,1982,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
18.466667,-7.583333,"Tricalysia griseiflora",1839530902,"Kambangu","COD",NA,1953,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
18.633333,-7.383333,"Tricalysia griseiflora",1839530945,"Mwana Mutombo","COD",NA,1953,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
10.050833,-0.953055,"Tricalysia griseiflora",3033600324,"Moyen-Ogooue, Lac Onangué Forêt basse inondable de bord de lac à Cynometra mannii et Morelia senegalensis","GAB",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
16.966667,-9.516667,"Tricalysia griseiflora",1840415787,"Près de Caculama, District: de Malanje","AGO",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
26.39805,-12.21972,"Tricalysia griseiflora",4060884824,"Solwezi District: Kifubwa (Chifubwa) Gorge National Monument. Approximately 4.6 km along Kyalalankuba Road; S of Solwezi and ca. 2 km S of entrance to Solwezi Teacher Training College. National Heritage Site. Collections along Kifubwa Gorge and river in forest on shallow soils and in woodland.","ZMB",NA,1995,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
24.355861,-11.444555,"Tricalysia griseiflora",1840897787,"About 12 km from Ikatu along T5","ZMB",30,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
23.166667,-10.7,"Tricalysia griseiflora",1839530927,"Kisenge (Divuma)","COD",NA,1956,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
28.016667,-7.316667,"Tricalysia griseiflora",1839530753,"Kiambi","COD",NA,1987,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
28.287,-12.5475,"Tricalysia griseiflora",2517524756,"Western Solwezi, on bank of the Kabompo R., above the crossing with the Solwezi-Mwinilunga road.","ZMB",NA,1952,"PRESERVED_SPECIMEN","PRESUMED_NEGATED_LONGITUDE;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
24.379999,-14.48,"Tricalysia griseiflora",3968967356,"Western, c. 7 km from the M9 Lusaka-Mongu on the D792 Kaoma-Lukulu road.","ZMB",NA,2013,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
25.1,-10.366667,"Tricalysia griseiflora",1839530770,"Nasondoye, 70 km de Kolwezi vers Kamina","COD",NA,1962,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
24.384167,-14.548611,"Tricalysia griseiflora",4061461667,"Kaoma District: 33.1 km from Kaoma town on the Kasempa/Kaoma road. Collecting in the Mavunda thickets.","ZMB",NA,1996,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
23.540361,-15.140389,"Tricalysia griseiflora",2517530704,"Western, Mongu District off the Mongu-Kaoma road in Ituke Plain in Hymenocardia chipia thickets.","ZMB",NA,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
16.366667,-9.283333,"Tricalysia griseiflora",1840415848,"Station IIAA de Gangassol, District: de Malanje","AGO",NA,1974,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
24.632583,-14.808483,"Tricalysia griseiflora",2517837954,"c. 7 km from the M9 (Lusaka-Mongu) on the D792 (Kaoma-Lukulu road.","ZMB",NA,2013,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
16.366667,-11.466667,"Tricalysia griseiflora",813351927,"Andulo - Calucinga, km 48, rio Cutato","AGO",NA,1973,"PRESERVED_SPECIMEN","RECORDED_DATE_INVALID;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
27.416667,-11.583333,"Tricalysia griseiflora",1839530875,"Miombo de la Kasapa, 9 km au NE de Lubumbashi","COD",NA,1971,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
24.25,-14.983333,"Tricalysia griseiflora",1258215790,"Mongu District: Off the Mongu-Kaoma road in Ituku Plain in Hymenocardia chipia thickets.","ZMB",NA,1996,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
24.205444,-11.216611,"Tricalysia griseiflora",1839424628,"Near Kalene hill, southwest of Ikelenge-Kalene hill road","ZMB",30,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
25.466667,-10.5,"Tricalysia griseiflora",1839530649,"Route vers Nzilo km 19, terr: Kolwezi","COD",NA,1958,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
23.95,-9.05,"Tricalysia griseiflora",1839530898,"Kayembe","COD",NA,1951,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
