"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-94.4,30.570967,"Tridens ambiguus",2807520817,"Boggy area about 2 mi. south of Warren, Rte. 69.","USA",NA,1969,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
-94.37306,30.31806,"Tridens ambiguus",2807247064,"Big Thicket National Preserve, Lance Rosier Unit, S side of Fire Tower Road, 0.9 roadmiles NE of its Jct. with Church House Rd., ca. 2.4 airmiles SW of Jct. St. Rt. 326 and FM 770 at Old Hardin. Kountze South Quadrangle.","USA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-86.70096,30.89884,"Tridens ambiguus",1987019792,"Blackwater River State Forest. beside sSherman Kennedy Rd. (NW of Baker","USA",NA,2014,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-85.21887,30.42972,"Tridens ambiguus",1986989861,"Beside trail in pine plantation, Raymond Layne property, S of Rte 20 just SW of Clarksville.","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY"
-88.415127,30.438165,"Tridens ambiguus",2992787534,"","USA",NA,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-89.406264,31.344478,"Tridens ambiguus",1913165174,"","USA",5,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-84.99285,29.953588,"Tridens ambiguus",3384675929,"","USA",3,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-88.641303,30.409036,"Tridens ambiguus",2873811051,"","USA",5,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-88.74684,30.66955,"Tridens ambiguus",3829925028,"Roadside of Hwy. 57 N of Vancleave, just N of Fourmile Branch","USA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-93.232165,30.565305,"Tridens ambiguus",3978728559,"By US 171, 2.8 mi. N of Ragley and jct. US 190E.","USA",NA,2001,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
