"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
134.292933,-23.573546,"Triodia triaristata",4017041068,"Mt Benstead.","AUS",2000,1972,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
140.63478,-21.442738,"Triodia triaristata",2418900246,"Squirrel Hills Station 1.2km S of confluence of Cloncurry River & Anvil Ck. 83km SSE of Cloncurry.","AUS",100,2012,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
140.5,-21.683333,"Triodia triaristata",2829460845,"Selwyn Minesite, Selwyn Ranges,108 km S of Cloncurry.","AUS",2000,1996,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.45,-21.92,"Triodia triaristata",2827781549,"SE face of Central Mount Stuart.","AUS",1000,1971,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.7581,-20.4039,"Triodia triaristata",2828077153,"15 km by road WNW of Warang homestead site, c. 70 km N of Torrens Creek. Flinders River catchment, White Mountains National Park.","AUS",50,2000,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
134.376266,-23.540212,"Triodia triaristata",4016927470,"4km west of Trephina Gorge.","AUS",2000,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
134.38,-23.45,"Triodia triaristata",2827357163,"Georgina Range.","AUS",1000,1972,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
131.3419,-23.3019,"Triodia triaristata",2826936821,"Imbimbe Spring;3km WSW of Mt.Liebig","AUS",100,2004,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
133.84194,-21.55026,"Triodia triaristata",2826724616,"5km SW Barrow Creek","AUS",NA,1996,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
144.835025,-20.448468,"Triodia triaristata",2418428612,"0.5km N of Warang homestead site, White Mountains National Park.","AUS",100,2000,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
