"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-57.197758,-0.936719,"Trischidium racemulosum",1931074283,"Rio Cachorro, Cachoeira do Varador, 23 km NW de Cachoeira Porteira","BRA",9372.83,1980,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-57.315416,-0.200052,"Trischidium racemulosum",1928608739,"Rio Cachorro, afluente da margem direita do rio Trombetas. Cachoeira de S. Pedro.","BRA",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-59.847157,-1.515667,"Trischidium racemulosum",1930340472,"Rio Uatumã, lado direito, perto da boca do rio Pitinga.","BRA",NA,1979,"PRESERVED_SPECIMEN","COLLECTION_MATCH_FUZZY"
-55.059354,-3.396906,"Trischidium racemulosum",1931265157,"Parqui Nacional do Tapajós, km 60 da estrada Itaituba-Jacarecanga, margem esquerda do rio. Vila Pimentel","BRA",NA,1978,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-57.051634,-1.0838,"Trischidium racemulosum",1929211334,"Cachoeira Porteira, margem esquerda do rio Trombetas, no Marco Topográfico de nº 35080","BRA",NA,1985,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;COLLECTION_MATCH_FUZZY"
-60,-1.033333,"Trischidium racemulosum",2998487262,"Rio Uatumã, margem entre os igarapés Terra Preta e Chagas montante da UHE de Balbina.","BRA",NA,1986,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-57.283333,-3.75,"Trischidium racemulosum",2998484485,"Basin of Rio Maués, Rio Urupadi, at mouth of Igarapé Quininha.","BRA",NA,1983,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
-51.8,-0.13,"Trischidium racemulosum",1929491518,"BR156, road under construction which will connect Macapá with Monte Dourado, 81km WSW of Macapá, ca. 11km SW of Rio Preto","BRA",NA,1984,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-56.93,-5.229722,"Trischidium racemulosum",1042711349,"Rio Tapajós, Margem direita do Rio Tapajós","BRA",NA,2013,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;ELEVATION_MIN_MAX_SWAPPED;INSTITUTION_MATCH_NONE"
-59.3,-1.233333,"Trischidium racemulosum",1042511489,"Rio Uatumã - Rio Pitinga., Rio Uatumã, lado direito, perto do rio Pitinga. Mata de terra firme, solo argiloso.","BRA",NA,1979,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-59.5,-1.366667,"Trischidium racemulosum",1042517413,"Rio Uatumã, margem entre os igarapé Terra Preta e Chagas a montante da UHE de Balbina. Mata de terra firme, solo areno-argiloso.","BRA",NA,1986,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;GEODETIC_DATUM_INVALID;INSTITUTION_MATCH_NONE"
-55.67,-5.916667,"Trischidium racemulosum",1929633922,"Estrada Santarem-Cuiaba, BR-163, km 1227, penetraçao de ± 7 km dentro da mata.","BRA",NA,1983,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-56.300278,-4.513889,"Trischidium racemulosum",3343084318,"Parque National da Amazônia, trail of ca. 3 km that departs the Trans-Amazonian Highway at ca. 6,5 Km from northern park boundary and returns to the same road at ca. 9,5 Km.","BRA",NA,2020,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;DIFFERENT_OWNER_INSTITUTION"
-56.428333,-4.601667,"Trischidium racemulosum",2998043691,"Parque Nacional da Amazônia, along the Capelinha Trail, 2-5 km from the trailhead on the Transamazonian Road","BRA",NA,2016,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
