"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-71.46616,-31.8695,"Tristerix aphyllus",1846491271,"Region 4. Coquimbo. Along road Los Vilos to Ilapel, ca. 2 km E from Cavilolen","CHL",NA,2004,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.250205,-30.672138,"Tristerix aphyllus",3957273227,"","CHL",9,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-70.760375,-32.748722,"Tristerix aphyllus",3925213376,"","CHL",1128,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.715065,-30.03425,"Tristerix aphyllus",2330774988,"Vicuna","CHL",250,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
-71.063651,-34.497696,"Tristerix aphyllus",3889182727,"","CHL",45,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.605835,-31.197222,"Tristerix aphyllus",2574012083,"","CHL",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.069701,-30.483191,"Tristerix aphyllus",2242918613,"","CHL",132,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.491684,-30.700886,"Tristerix aphyllus",3384349697,"","CHL",2371,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.082129,-34.045055,"Tristerix aphyllus",3873929005,"","CHL",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.512025,-31.860937,"Tristerix aphyllus",2579273915,"","CHL",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.076477,-29.472116,"Tristerix aphyllus",3328097531,"","CHL",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.372437,-29.969612,"Tristerix aphyllus",3337641312,"","CHL",5,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.211839,-31.379819,"Tristerix aphyllus",3355208927,"","CHL",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.356723,-33.347313,"Tristerix aphyllus",1831216010,"","CHL",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.171796,-29.991528,"Tristerix aphyllus",3067707353,"","CHL",3906,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.357975,-32.899566,"Tristerix aphyllus",3124627855,"","CHL",7120,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-71.11079,-29.755466,"Tristerix aphyllus",3872951032,"","CHL",122,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.11,-33.74411,"Tristerix aphyllus",3872888423,"","CHL",1807,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.093005,-31.502008,"Tristerix aphyllus",3966751969,"","CHL",911,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.64475,-30.575865,"Tristerix aphyllus",4018172995,"","CHL",NA,2023,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-70.49137,-33.723131,"Tristerix aphyllus",1944394503,"","CHL",31,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.248774,-29.567901,"Tristerix aphyllus",3759061992,"","CHL",393,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.173876,-30.624977,"Tristerix aphyllus",2626584121,"","CHL",79,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.795067,-32.264877,"Tristerix aphyllus",3355007964,"","CHL",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.099551,-32.923161,"Tristerix aphyllus",3384964690,"","CHL",274,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.807328,-31.713837,"Tristerix aphyllus",3961400162,"","CHL",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.110479,-29.90751,"Tristerix aphyllus",3391363285,"","CHL",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.074791,-28.217219,"Tristerix aphyllus",3415604461,"","CHL",1911,2009,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.485798,-30.5167,"Tristerix aphyllus",2563516687,"","CHL",1869,1992,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.900917,-33.495596,"Tristerix aphyllus",3456902681,"","CHL",13,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.300803,-29.784547,"Tristerix aphyllus",3466083972,"","CHL",7,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.658735,-31.07534,"Tristerix aphyllus",3759840955,"","CHL",NA,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-71.685963,-30.651961,"Tristerix aphyllus",3456483754,"","CHL",31,2014,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.237241,-29.320138,"Tristerix aphyllus",3759543987,"","CHL",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.173801,-32.493117,"Tristerix aphyllus",3097312421,"","CHL",4,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.334421,-33.657358,"Tristerix aphyllus",3760239493,"","CHL",NA,2022,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-70.958108,-33.96306,"Tristerix aphyllus",3355235023,"","CHL",244,2011,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.65,-30.217,"Tristerix aphyllus",2597719685,"","CHL",100,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
-71.079728,-28.522045,"Tristerix aphyllus",3915504647,"","CHL",504,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.350812,-30.042692,"Tristerix aphyllus",3068081632,"","CHL",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.460415,-34.273024,"Tristerix aphyllus",2576501022,"","CHL",500,2005,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.5,-30.33333,"Tristerix aphyllus",1261443919,"Just SW of Tongoy, on the road to Playa Blanca at crest of hill before beach. Material treated with alcohol before drying.","CHL",NA,1994,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-70.735177,-34.213398,"Tristerix aphyllus",4009711157,"","CHL",353,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.268138,-30.317887,"Tristerix aphyllus",3335141988,"","CHL",156,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.181167,-29.391955,"Tristerix aphyllus",3330832505,"","CHL",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.862641,-31.556693,"Tristerix aphyllus",3455849819,"","CHL",240,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.66666,-31.91666,"Tristerix aphyllus",1258636140,"10 km W of Cuncumén.","CHL",NA,1978,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71.456597,-30.437817,"Tristerix aphyllus",2518060085,"","CHL",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.030899,-31.143893,"Tristerix aphyllus",2563474606,"","CHL",61,2012,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.882523,-30.385722,"Tristerix aphyllus",3457173762,"","CHL",31,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.697444,-32.610849,"Tristerix aphyllus",3032080091,"","CHL",9068,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.903542,-33.510217,"Tristerix aphyllus",3747220160,"","CHL",8,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.946158,-27.921615,"Tristerix aphyllus",3915287610,"","CHL",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.885293,-32.96298,"Tristerix aphyllus",3881905752,"","CHL",4,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-70.9486,-33.0797,"Tristerix aphyllus",2235628488,"Fundo La Cailla El Melon Lote B","CHL",NA,2017,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84"
-71.567068,-31.583392,"Tristerix aphyllus",3384839161,"","CHL",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.092023,-32.082233,"Tristerix aphyllus",2579262876,"","CHL",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.10489,-32.707725,"Tristerix aphyllus",3328015688,"","CHL",25,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.465897,-32.344161,"Tristerix aphyllus",3333270666,"","CHL",NA,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-71.05,-33.283,"Tristerix aphyllus",3808187770,"Alto de Carén","CHL",NA,1996,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
-71,-32.283,"Tristerix aphyllus",3808191943,"Hierro Viejo","CHL",NA,1978,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
