"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
131.00748,-14.34428,"Uraria Litchfield",1805920566,"Approx. 60km S of DOuglas Daly Reseach Farm. Fish River Station.","AUS",20,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.57968,-14.06178,"Uraria Litchfield",1633123226,"Nitmiluk. TOW E. miniata & E. tetrodonta over mixed perennial grasses. Murrawal Plateau","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.42064,-13.81248,"Uraria Litchfield",1633160676,"Nitmiluk. TOW, E. tetrodonta, E. miniata over Triodia and mixed shrubs, broken laterite slopes Douglas Springs area","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.55401,-14.19405,"Uraria Litchfield",1633113518,"Nitmiluk. TOW E. tetrodonta, E. miniata & C. umbonata over perennial Sorghum. Southern Murrawal Plateau","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.63113,-14.28801,"Uraria Litchfield",1633029784,"Fish River block approximately 78km SW from Research Farm. Open community dominated by Corymbia bleeseri and Eucalyptus miniata over Triodia bitextura. Patches adjacent dominated by E. miniata and increased canopy cover (%). Site 60","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.57796,-13.83093,"Uraria Litchfield",1633116262,"Nitmiluk. TOW C. bleeseri over E. avenacea, Schizachyrium & T. bitextura. Murrawal Plateau North","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.49172,-14.08046,"Uraria Litchfield",1633121331,"Nitmiluk. Murrawal Plateau","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.431685,-14.366086,"Uraria Litchfield",1805948109,"","AUS",20,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.46991,-13.83482,"Uraria Litchfield",1633115783,"Nitmiluk. TOW E. miniata & E. tetrodonta over T. triandra. Murrawal Plateau North","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.469228,-14.214744,"Uraria Litchfield",1633285487,"","AUS",NA,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.54227,-13.93029,"Uraria Litchfield",1633115181,"Nitmiluk. Murrawal Plateau North","AUS",3,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.76694,-13.13954,"Uraria Litchfield",1633279461,"","AUS",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.77732,-13.17201,"Uraria Litchfield",1633280932,"","AUS",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.95169,-14.31295,"Uraria Litchfield",1633029923,"Fish River block approximately 60km SW of Research Farm. Uniform community of Eucalyptus miniata, E. tetrodonta and Corymbia bleeseri. Site 67","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.833611,-12.496389,"Uraria Litchfield",1633155878,"Korlobidahda survey. Euc. miniata/tetrodonta woodland with perennial grasses; gravelly red earth on Tertiary (laterite) plateau. DBE.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.48157,-14.33871,"Uraria Litchfield",1633029658,"Fish River block, SW corner approximately 93km SW of Research Farm. Homogenous community dominated by Eucalyptus miniata, E. tetrodonta and Corymbia bleeseri over perennial grasses, Livistona humilis and Cycas in the mid. Site 55","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
