"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
113.58,23.55,"Uraria lagopodioides",4043787629,"","CHN",NA,1958,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
100.8,22.02,"Uraria lagopodioides",4043590021,"","CHN",NA,1977,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
101.57,21.48,"Uraria lagopodioides",4044933316,"","CHN",NA,1959,"PRESERVED_SPECIMEN","COUNTRY_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_NONE"
132.5299,-11.40498,"Uraria lagopodioides",1633306777,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.812752,-12.279827,"Uraria lagopodioides",1633045444,"Gove Mine Preclearing Survey, Site S2-T9; Eucalyptus tetrodonta woodland on bauxite plateau","AUS",5,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.492222,-12.144444,"Uraria lagopodioides",1633014851,"Maningrida area. Mixed open forest on margin of Cadell swamp.","AUS",20,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.746941,-15.406437,"Uraria lagopodioides",2850121700,"","AUS",6,1985,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.242437,-13.678937,"Uraria lagopodioides",1633503913,"paired site - heavily grazed","AUS",NA,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.70046,-14.03924,"Uraria lagopodioides",1633113174,"Nitmiluk. TOW C. dichromophloia, C. oocarpa, E. chlorostachys & C. intratropica. Sandstone crest. Eastern boundary","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.35162,-11.34773,"Uraria lagopodioides",1633025389,"Cobourg Peninsula, main Danger Point Rd, near resource centre. CO95. Eucalyptus miniata/ E.tetrodonta/ C.nesophila open forest over Livistona and dense Heteropogon/Sorghum plumosum; red loam; plateau.","AUS",5,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.543864,-14.770067,"Uraria lagopodioides",2445737616,"King River Station","AUS",20,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.629167,-13.884167,"Uraria lagopodioides",1633453298,"","AUS",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.195228,-14.034355,"Uraria lagopodioides",1632988479,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.498031,-15.603306,"Uraria lagopodioides",1633563437,"","AUS",20,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.913631,-12.320487,"Uraria lagopodioides",1633046851,"Gove Mine Preclearing Survey, Site S8-T3; Eucalyptus tetrodonta woodland on bauxite plateau","AUS",5,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.7075,-13.071944,"Uraria lagopodioides",1633079454,"Litchfield NP. Euc. tetrodonta woodland. (D. Liddle site 18, plot 2).","AUS",20,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.187076,-15.545643,"Uraria lagopodioides",1633131966,"Sturt Plateau, Stuart Hwy. Open woodland of Euc. tetrodonta and Terminalia canescens on sandy red earth.","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.317449,-11.637544,"Uraria lagopodioides",1633145784,"Bathurst Island, ca 5km before Wurankuru. Euc. miniata open forest.","AUS",20,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.391389,-14.066389,"Uraria lagopodioides",1632987443,"","AUS",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.28168,-17.239,"Uraria lagopodioides",1633547631,"Daguragu land Trust Area, near Gill Creek NW corner, 63.5 NW Kalkarindji.","AUS",20,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.64954,-14.24641,"Uraria lagopodioides",1633029821,"Fish River block approximately 76km SW of Research Farm. Side slope dominated by Eucalyptus miniata and E. tetrodonta over Cycads and Livistona humilis, perennial tussock grasses. Emphemeral stream adjacent with Corymbia ptychocarpa. Site 62","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.766078,-13.771864,"Uraria lagopodioides",1633587539,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.65565,-16.31531,"Uraria lagopodioides",1633076595,"Limmen NP, Billengarah block approx 30km south east of Tawallah creek crossing. Limestone outcrops dominated by Bauhinia cunninghamii, Corymbia terminalis and Eucalyptus chlorophylla. Site 371","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.77556,-13.06798,"Uraria lagopodioides",1633259949,"","AUS",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.125529,-13.563585,"Uraria lagopodioides",1633503173,"","AUS",NA,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.873165,-15.873067,"Uraria lagopodioides",2850162053,"Auvergne Stn and Spirit Hills","AUS",NA,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.800073,-14.098217,"Uraria lagopodioides",1632992040,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.48712,-13.93609,"Uraria lagopodioides",2445801495,"","AUS",20,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.61943,-12.43845,"Uraria lagopodioides",1633273546,"East of old abbatoir","AUS",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.127219,-12.908056,"Uraria lagopodioides",1633585362,"","AUS",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.95394,-12.54063,"Uraria lagopodioides",1633264715,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.67903,-13.89912,"Uraria lagopodioides",1633118238,"Nitmiluk. North-eastern Corner of Park","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.59479,-12.92949,"Uraria lagopodioides",1633266674,"Jessie's Road","AUS",NA,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.149616,-15.320393,"Uraria lagopodioides",2850130948,"Elsey Station","AUS",NA,1993,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.808884,-14.19513,"Uraria lagopodioides",1633555439,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.363333,-12.873333,"Uraria lagopodioides",1633010233,"Arafura survey. Doyndji area. Euc. tetrodonta open forest on sandy soil. BAU plot DUNG 3.","AUS",20,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.43267,-13.662803,"Uraria lagopodioides",1633505352,"regrowth?","AUS",NA,2007,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.461471,-15.664684,"Uraria lagopodioides",2850140699,"Gregory National Park vegetation and landunit survey","AUS",2,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.11063,-11.43805,"Uraria lagopodioides",1633308938,"around half way along Araru Rd","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.878164,-12.443093,"Uraria lagopodioides",1633023554,"Charles Darwin NP; Corymbia bleeseri woodland on ridge top; skeletal soil, Mullaman bed outcrop","AUS",20,1998,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.137087,-12.315055,"Uraria lagopodioides",1805947686,"Gunn Point","AUS",1,2016,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.64134,-15.719729,"Uraria lagopodioides",1633565474,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.87408,-12.82328,"Uraria lagopodioides",1633262658,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.565595,-14.505067,"Uraria lagopodioides",2445794810,"Yelti Station","AUS",20,2018,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.207256,-14.212549,"Uraria lagopodioides",1633287947,"","AUS",NA,1995,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.505833,-14.001106,"Uraria lagopodioides",1632986805,"","AUS",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.030252,-12.647308,"Uraria lagopodioides",1633038331,"Weddell Flora Site 094","AUS",5,2011,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.482778,-13.984167,"Uraria lagopodioides",1633571345,"","AUS",NA,2003,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.764444,-15.6175,"Uraria lagopodioides",1633588729,"","AUS",NA,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.051409,-13.416938,"Uraria lagopodioides",2850147664,"Adelaide River catchment-Warrai Dam site","AUS",20,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.65358,-13.90373,"Uraria lagopodioides",1633118346,"Nitmiluk. North-eastern Corner of Park","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.24874,-11.31052,"Uraria lagopodioides",1633308170,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.28779,-11.36979,"Uraria lagopodioides",1633307844,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.77055,-14.33995,"Uraria lagopodioides",1633029243,"Fish River block. Site 10","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.777323,-13.49053,"Uraria lagopodioides",1633555513,"","AUS",NA,2000,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.36388,-14.18732,"Uraria lagopodioides",1633106017,"Nitmiluk. MHOW E. tintinnans over H. triticeus. Seventeen-mile Valley","AUS",4,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.34625,-12.61855,"Uraria lagopodioides",1633485049,"csiro site kapalga","AUS",NA,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
129.619742,-15.404963,"Uraria lagopodioides",1633557419,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
134.046445,-16.779298,"Uraria lagopodioides",2850130003,"AMUN20.1","AUS",NA,1991,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.86626,-12.11958,"Uraria lagopodioides",2850138755,"Somewhere in the NT","AUS",7,1987,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.37924,-17.46581,"Uraria lagopodioides",1633546945,"Approx 15km N of Burta Wurta.","AUS",20,2012,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.49356,-12.49441,"Uraria lagopodioides",1633481005,"1.5 km sth munmalaryhomestead","AUS",NA,2002,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.836423,-12.717671,"Uraria lagopodioides",1805927201,"","AUS",20,2015,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.9136,-11.28957,"Uraria lagopodioides",1633309608,"SE of Araru","AUS",NA,2005,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
136.832969,-12.357221,"Uraria lagopodioides",1633046391,"Gove Mine Preclearing Survey, Site S7-T2; Eucalyptus tetrodonta woodland on bauxite plateau","AUS",5,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.996,-12.706,"Uraria lagopodioides",1633020952,"Berry Springs Wildlife Park. Euc. tetrodonta/Euc. miniata woodland on loamy sand.","AUS",15,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
131.9832,-15.07401,"Uraria lagopodioides",2850121236,"Dixie Station","AUS",20,2020,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.60944,-14.10957,"Uraria lagopodioides",1633101846,"Nitmiluk. MHOW with E. phoenicea, E. oocarpa and T. carpentariae over S. intrans heary nods Seastern edge of Murrawal Plateau","AUS",NA,2001,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
132.643081,-13.292259,"Uraria lagopodioides",1633272995,"","AUS",NA,2004,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.62724,-16.01735,"Uraria lagopodioides",1633075894,"Limmen NP, Billengarah block. Site 349","AUS",5,2010,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
135.72806,-16.05346,"Uraria lagopodioides",1633067163,"Limmen NP Survey, Field Site No. 2","AUS",20,2008,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
130.930194,-12.969667,"Uraria lagopodioides",1633558295,"","AUS",NA,2006,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.000018,-15.148479,"Uraria lagopodioides",1633132906,"Sturt Plateau; Gorrie Stn road; low woodland on lateritic outcrop; skeletal soil.","AUS",20,1999,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
133.203608,-16.647544,"Uraria lagopodioides",1633584869,"","AUS",20,2009,"HUMAN_OBSERVATION","CONTINENT_DERIVED_FROM_COORDINATES"
