"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
151.1372,-31.3508,"Verbena bonariensis",2827543664,"Alongside Chaffey Dam.","AU",50,1995,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
148.25,-33.45,"Verbena bonariensis",2828195358,"20 km from Forbes on Cowra Road.","AU",1000,1994,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
3.70608,45.64233,"Verbena bonariensis",1115183682,"","FR",5000,2004,"HUMAN_OBSERVATION","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES"
150.50141,-30.406326,"Verbena bonariensis",3052263877,"locality withheld","AU",50,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.753657,-32.62893,"Verbena bonariensis",3365533227,"locality withheld","AU",5,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.607493,-32.777385,"Verbena bonariensis",2421445080,"locality withheld","AU",5,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.933748,-33.66265,"Verbena bonariensis",2806278336,"locality withheld","AU",50,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.871336,-31.469245,"Verbena bonariensis",2806207768,"locality withheld","AU",20,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.292191,-33.494369,"Verbena bonariensis",1452250843,"locality withheld","AU",250,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.37316,-33.512687,"Verbena bonariensis",1074797470,"locality withheld","AU",250,2004,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.996176,-34.06337,"Verbena bonariensis",3052348214,"locality withheld","AU",200,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.962719,-32.121201,"Verbena bonariensis",3748993536,"locality withheld","AU",10,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.016047,-30.656035,"Verbena bonariensis",3052348589,"locality withheld","AU",50,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
149.003186,-31.28958,"Verbena bonariensis",3497174377,"locality withheld","AU",5,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.208721,-32.4185,"Verbena bonariensis",1069941498,"locality withheld","AU",100,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
149.387016,-32.452043,"Verbena bonariensis",3891967380,"locality withheld","AU",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
148.497489,-32.1967,"Verbena bonariensis",1071359071,"locality withheld","AU",10,2013,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.419745,-33.302931,"Verbena bonariensis",1073001979,"locality withheld","AU",100,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.720063,-34.169823,"Verbena bonariensis",1452514638,"locality withheld","AU",20,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.450045,-32.045949,"Verbena bonariensis",1452729341,"locality withheld","AU",3,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.127522,-32.64466,"Verbena bonariensis",1069747330,"locality withheld","AU",10,2002,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.383151,-33.448902,"Verbena bonariensis",1070025042,"locality withheld","AU",100,2008,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
145.140314,-35.809795,"Verbena bonariensis",2806326619,"locality withheld","AU",10,2018,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.761142,-34.582085,"Verbena bonariensis",2806100512,"locality withheld","AU",10,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.450613,-33.129248,"Verbena bonariensis",1452106883,"locality withheld","AU",10,2015,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.303607,-30.617717,"Verbena bonariensis",1074189444,"locality withheld","AU",100,2006,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
149.175194,-33.176096,"Verbena bonariensis",1071485868,"locality withheld","AU",100,2000,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.240957,-30.06656,"Verbena bonariensis",1074200005,"locality withheld","AU",100,2001,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
148.864848,-33.053973,"Verbena bonariensis",1074817033,"locality withheld","AU",1000,2004,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.30359,-32.767722,"Verbena bonariensis",1069997512,"locality withheld","AU",1000,2007,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
153.182715,-30.103899,"Verbena bonariensis",1072032700,"locality withheld","AU",1000,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.611549,-34.901497,"Verbena bonariensis",1452628080,"locality withheld","AU",100,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.731555,-31.488844,"Verbena bonariensis",1071819096,"locality withheld","AU",1000,1999,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.630093,-29.973912,"Verbena bonariensis",1074731225,"locality withheld","AU",1000,2004,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
151.086706,-32.435866,"Verbena bonariensis",1935482089,"locality withheld","AU",10,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
150.767999,-33.583272,"Verbena bonariensis",1452734196,"locality withheld","AU",100,2016,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.573968,-29.741441,"Verbena bonariensis",1072739445,"locality withheld","AU",100,1993,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
149.101175,-32.698436,"Verbena bonariensis",1451703204,"locality withheld","AU",1667,1974,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE"
151.516931,-32.85933,"Verbena bonariensis",1071474446,"locality withheld","AU",10,2002,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
152.933243,-30.654474,"Verbena bonariensis",1071717588,"locality withheld","AU",1000,2003,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
