"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
37.420293,0.019061,"Vicia paucifolia",2974481359,"","KEN",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
36.6,9.066667,"Vicia paucifolia",2515809948,"5 km E of Lekemti.","ETH",NA,1965,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
37.35,11.55,"Vicia paucifolia",2517255971,"c. 6 km WSW of Bahar Dar.","ETH",NA,1969,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
28.683333,-2.25,"Vicia paucifolia",2517668658,"Kahusi, terr. Kalehe.","COD",NA,1959,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
35.583333,6.183333,"Vicia paucifolia",2515578530,"Maji.","ETH",NA,1970,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
38.296856,-4.789187,"Vicia paucifolia",3863881114,"Silviculture Arboretum","TZA",NA,1971,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE"
35.6,-10.55,"Vicia paucifolia",2517255972,"Ruvama region, Kitulo (Kitilo Project).","TZA",NA,1968,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
30.658611,2.173055,"Vicia paucifolia",1840189626,"Nioka","COD",NA,1952,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
33.810119,-10.508919,"Vicia paucifolia",2651267888,"Along Nothern loop road towards Nganda Hill, Nyika National Park","MWI",NA,2019,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
35.3,-15.33,"Vicia paucifolia",1675985830,"Southern Region, Zomba Plateau, Songani Lookout.","MWI",NA,1991,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
36.62666,-7.12083,"Vicia paucifolia",4061059458,"T6. Rubeho Mountains, Ukwiva Forest Reserve, grassland area between Mwega and Digitove, 8 km SE of Leding'ombe village.","TZA",NA,2005,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
35.216667,-0.066667,"Vicia paucifolia",4061149278,"Seeds from Songhor sown and cultivated at Kitale Grassland Research Station","KEN",NA,1961,"PRESERVED_SPECIMEN","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
28.7405,-2.868167,"Vicia paucifolia",2517438702,"Twangiza, Twangiza Ridge.","COD",NA,2008,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
35.25,-8.53333,"Vicia paucifolia",328367697,"Iringa District: Mufindi. Kihanga area, road to Lake Ngwazi","TZA",NA,2006,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
36.59056,-6.94,"Vicia paucifolia",1052048927,"Mpwapwa District. Rubeho Mountains, Mafwemera Forest Reserve, ca. 5 km NNW of Mbuga Village, near top of small NE-facing valley","TZA",NA,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
35.05,-8.5,"Vicia paucifolia",2515685004,"iringa District: 30 km from Sao Hill on Mbeya road.","TZA",NA,1988,"PRESERVED_SPECIMEN","INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH"
