"lon","lat","species","gbifID","locality","countryCode","coordinateUncertaintyInMeters","year","basisOfRecord","issue"
-79.21172,34.10772,"Wisteria frutescens",1927879555,"6.5 air km NE of Galvants","USA",NA,2011,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY"
-84.63333,30.4,"Wisteria frutescens",4061502987,"1.3 mi. W of Bloxham on FLA 20. Pine savannah with a few small streams.","USA",NA,1976,"PRESERVED_SPECIMEN","OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_NONE"
-80.93719,32.90898,"Wisteria frutescens",3498231385,"Islandton, E side of Ricepatch Creek, 15 meters N of the SC 63 bridge, 75 meters W of Talmadge Manor Ln.","USA",NA,2019,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-80.495394,32.805907,"Wisteria frutescens",3498231676,"3.4 miles NW of Jacksonboro, NW edge of Parker’s Ferry Rd., 0.3 miles SW of Jacksonboro Rd. (SSR 40), 0.55 miles NE of SC 64.","USA",NA,2014,"PRESERVED_SPECIMEN","CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-76.491842,37.22342,"Wisteria frutescens",3953598040,"","USA",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-79.504075,37.12322,"Wisteria frutescens",3955676686,"","USA",NA,2017,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-81.869767,33.557928,"Wisteria frutescens",3998949576,"","USA",NA,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-97.533355,35.664483,"Wisteria frutescens",3958202788,"","USA",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-80.607804,36.500283,"Wisteria frutescens",3998891262,"","USA",15,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-97.32782,35.712012,"Wisteria frutescens",3952634568,"","USA",7,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-85.834654,42.313491,"Wisteria frutescens",3952911137,"","USA",3,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-81.021927,41.009302,"Wisteria frutescens",3953806260,"","USA",NA,2020,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-77.512017,39.643558,"Wisteria frutescens",3960356202,"","USA",5,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-93.06182,34.9166,"Wisteria frutescens",3435790142,"Ouachita Mountains. Fourche Mountains Ecoregion. USGS Nimrod 7.5' Quad. Ouachita National Forest. South Fourche Botanical Area. From Hwy 7 go east on FS 210 until it reaches the South Fourche LaFave River at a backcountry camping area (~4.2 miles). Go ~800 feet down stream on the south fork.","USA",NA,2018,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-92.26987,34.53979,"Wisteria frutescens",3435796565,"West Gulf Coastal Plain. Tertiary Uplands Ecoregion. USGS Spring Lake 7.5' Quad. Ferguson Lake (an impounded cypress-tupelo swamp).","USA",100,2005,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-93.85226,33.70055,"Wisteria frutescens",3435796570,"West Gulf Coastal Plain. Cretaceous Dissected Uplands Ecoregion. USGS McNab 7.5' Quad. 4.3 miles SE of Saratoga. Nacatoch Ravines Natural Area - Oaks Ravines Tract.","USA",100,2008,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY"
-92.572282,30.94405,"Wisteria frutescens",3959636240,"","USA",38,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-96.060486,36.208442,"Wisteria frutescens",3959942578,"","USA",65,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-79.63896,40.32308,"Wisteria frutescens",3951680181,"","USA",35,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-70.416287,41.637797,"Wisteria frutescens",3960038742,"","USA",65,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-84.278512,34.378496,"Wisteria frutescens",3958954285,"","USA",10,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-79.454613,41.501983,"Wisteria frutescens",3955312212,"","USA",19,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-94.651972,35.805153,"Wisteria frutescens",3953501890,"","USA",NA,2021,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-84.526238,38.900521,"Wisteria frutescens",3956170938,"","USA",10,2019,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-82.261586,35.227372,"Wisteria frutescens",3998274586,"","USA",34,2022,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES"
-83.572242,31.130806,"Wisteria frutescens",4062966164,"","USA",18,2023,"HUMAN_OBSERVATION","COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES"
-77.1192,35.6342,"Wisteria frutescens",1317205735,"Boggy-swampy drainage of unamed system draining into Mattawoman Creek, 0.5-0.7 mi. SW of Millards Mill (MD Rt. 225) and 0.7-0.9 mi. S of Mason Springs (jct. MD Rts 224 and 225).","USA",NA,1999,"PRESERVED_SPECIMEN","GEODETIC_DATUM_ASSUMED_WGS84"
